InspectionID,CSNumber,CS Overall Condition,CS Litter,CS Graffiti,CS Amenities,CS Structural
86497,1,A,A,A,A,A
97524,1,N,N,N,N,N
114373,1,A,A,A,A,A
72519,1,N,N,N,N,N
50269,1,A,A,A,A,A
89315,1,A,A,A,A,A
87691,1,A,A,A,U,A
80311,1,A,A,A,A,A
66204,1,A,A,A,U,A
57685,1,N,N,N,N,N
84587,1,A,A,A,A,A
92567,1,A,A,A,A,A
45551,1,A,A,A,U,A
110823,1,A,A,A,A,A
88820,1,N,N,N,N,N
117383,1,A,A,A,A,A
49314,1,A,A,A,U,A
48666,1,A,A,A,U,A
43509,1,A,A,A,U,A
39132,1,U,A,A,U/S,U/S
99447,1,A,A,A,A,A
90184,1,N,N,N,N,N
98941,1,A,A,A,A,A
71542,1,U,N,N,N,N
49905,1,A,A,A,A,A
58296,1,U,N,N,N,N
71802,1,U,U/S,A,U,A
109461,1,U,N,N,N,N
110584,1,A,A,A,A,A
87056,1,A,A,A,A,A
59780,1,U,A,A,A,A
107324,1,A,A,A,A,A
120743,1,U,N,N,N,N
66213,1,A,A,A,A,A
105776,1,A,A,A,A,U
60603,1,A,A,A,U,A
87168,1,N,N,N,N,N
75571,1,A,A,A,U,A
84151,1,N,N,N,N,N
103445,1,A,A,A,A,A
95992,1,A,A,A,A,A
121689,1,A,A,A,A,A
109210,1,A,A,A,A,A
96654,1,A,A,A,A,A
64504,1,A,A,A,U,A
84998,1,A,A,A,A,A
68474,1,A,A,A,A,A
112256,1,N,N,N,N,N
81076,1,A,A,A,A,A
79954,1,U,A,U,U,A
36670,1,U,A,A,U/S,A
94978,1,A,A,A,A,U
53722,1,A,A,A,A,A
72134,1,A,A,A,A,A
47436,1,A,A,A,A,A
57277,1,A,A,A,U,A
106242,1,A,A,A,A,A
89500,1,A,A,A,A,A
51887,1,A,A,A,U,A
77941,1,U,U/S,A,U,A
106584,2,A,A,A,U,A
56522,1,A,A,A,U,A
68121,1,A,A,A,A,A
68609,1,U,U/S,A,A,A
72465,1,A,A,A,A,A
58783,1,U,A,A,A,A
63835,1,A,A,A,A,A
70691,1,N,N,N,N,N
89312,1,A,A,A,A,A
120551,1,A,A,A,U,A
48294,1,N,N,N,N,N
111906,1,A,A,A,A,A
121193,1,N,N,N,N,N
45391,1,A,A,A,U,A
106010,1,A,A,A,U,A
111726,1,A,A,A,A,A
109736,1,A,A,A,A,A
74819,1,A,A,A,A,A
121425,1,A,A,A,A,A
86744,1,A,A,A,A,A
58006,1,A,A,A,A,A
77805,1,A,A,A,A,A
91156,1,A,A,A,A,A
117161,1,A,A,A,A,A
108207,1,N,N,N,N,N
113227,1,A,A,A,A,A
109163,1,A,N,N,N,N
58100,1,N,N,N,N,N
58479,1,A,A,A,U,A
96094,1,A,A,A,A,A
106468,1,A,A,A,A,A
38175,1,A,A,A,U,A
118166,1,U,N,N,N,N
70858,1,A,A,A,A,A
90573,1,A,A,A,A,A
118422,1,A,A,A,A,A
105489,1,A,A,A,A,A
119628,1,A,A,A,U,A
101859,1,A,A,A,A,A
112091,1,A,A,A,A,A
64026,1,A,A,A,U,A
59845,1,U,U,A,U,A
71118,1,A,A,A,U,A
82382,1,N,N,N,N,N
122010,1,A,A,A,A,A
101149,1,A,A,A,A,A
91931,1,A,A,A,A,A
100819,1,N,N,N,N,N
61699,1,A,A,A,A,A
57907,1,N,N,N,N,N
105016,1,A,A,A,A,A
109627,1,N,A,N,U,N
59689,1,A,A,A,A,A
89747,1,N,N,N,N,N
79840,1,A,A,A,A,A
56879,1,N,N,N,N,N
102607,1,N,N,N,N,N
88911,1,A,A,A,A,A
74326,1,A,A,A,A,A
96241,1,U,A,A,A,U/S
58165,1,U,U,A,U,A
109043,1,A,A,A,A,A
117809,1,N,N,N,N,N
35270,1,A,A,A,A,A
97757,1,A,A,A,A,A
39612,1,U,A,A,U,U/S
39001,1,U,A,A,U/S,U/S
107416,1,A,A,A,A,A
45573,1,U,N,N,N,N
47255,1,A,A,A,U,A
83452,1,A,A,A,U,A
100640,1,A,A,A,A,A
94071,1,U,A,A,U,U/S
102145,1,A,A,A,A,A
96829,1,A,A,A,A,A
41543,1,U,A,A,A,U/S
88979,1,U,A,A,U,U
100956,1,U,N,N,N,N
119369,1,N,N,N,N,N
96867,1,A,A,A,U,A
108098,1,A,U,A,A,A
91638,1,A,A,A,A,A
66605,1,U,N,N,N,N
98824,1,A,A,A,A,A
107390,1,A,A,A,A,A
57480,1,A,A,A,U,A
58471,1,A,A,A,A,A
47266,1,A,A,A,U,A
73558,1,A,A,A,U,A
88844,1,A,A,A,A,A
34303,1,U,N,N,N,N
96126,1,A,A,A,A,A
98807,1,A,A,A,A,A
49310,1,A,A,A,U,A
115725,1,A,A,N,A,N
98261,1,A,A,A,A,A
96478,1,A,A,A,A,A
115092,1,A,A,A,A,A
40599,1,A,A,A,A,A
110378,1,A,A,A,A,A
112397,1,A,A,A,A,A
43356,1,U,A,A,U/S,U/S
104664,1,A,A,A,A,U
101163,1,A,A,A,A,A
85347,1,A,A,A,U,A
94439,1,U,A,A,U,U/S
84605,1,U,N,N,N,N
76150,1,A,A,A,A,A
73487,1,A,A,A,A,A
105614,1,A,A,A,A,U
111521,1,U,N,N,N,N
75672,1,A,A,A,A,A
55037,1,A,A,A,A,U
113156,1,A,A,A,A,A
39830,1,A,A,A,U,A
120210,1,A,A,A,A,A
120036,1,A,A,A,A,A
