BusinessName,Address,Suite,City,State,Zip,BusinessType,OwnerName,X,Y,Location
STAY ALFRED,822 PERDIDO ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"STAY ALFRED,INC",3680216.60872,529806.256705,"(29.9508223709029, -90.0721823664217)"
AULD SWEET OLIVE,2460 N RAMPART ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"OLIVE BLOSSOM, LLC",3686348.36412,536018.401287,"(29.967716633652, -90.0526022013441)"
723 MARIGNY,723 MARIGNY ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,"BENOIT, MICHELLE A.",3685564.32834,535086.395846,"(29.9651780147465, -90.055111035849)"
MAISON PERRIER,4117 PERRIER ST,,NEW ORLEANS,LA,70115,4703 - BED & BREAKFAST INNS,"SCHOENBRUN, THOMAS F",3671867.25467,520200.862968,"(29.9246606970105, -90.0988721909619)"
HYATT HOUSE NEW ORLEANS DOWNTOWN,1250 POYDRAS ST,,NEW ORLEANS,LA,70113,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,SELECT HOTELS GROUP LLC,3678736.86037,529752.634305,"(29.9507196270331, -90.0768565173229)"
HOTEL ST MARIE,827 TOULOUSE ST,,NEW ORLEANS,LA,70112-3421,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"HOTEL MANAGEMENT OF NEW ORLEANS, LLC",3681906.18293,532581.968004,"(29.9584033948198, -90.0667506755799)"
905 ROYAL HOTEL,905 ROYAL ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,905 ROYAL HOTEL,3683024.79112,533123.2825,"(29.9598577782522, -90.0631994674944)"
W.M.COX,2109 CHARTRES ST,,NEW ORLEANS,LA,70116,4703 - BED & BREAKFAST INNS,W.M.COX LLC,3684826.66185,534524.719109,"(29.9636562037499, -90.0574602933431)"
ROYAL BARRACKS GUEST HOUSE,717 BARRACKS ST,,NEW ORLEANS,LA,70116,4702 - ROOMING & BOARDING HOUSES,ROYAL BARRACKS GUEST HOUSE INC,3683773.91612,534314.965125,"(29.9631116423374, -90.0607921087349)"
OLD LA LA'S CREOLE COTTAGE,2125 LAUREL ST,,NEW ORLEANS,LA,70130,4703 - BED & BREAKFAST INNS,OLD LA LA'S CREOLE COTTAGE LLC,3679422.33858,521628.256313,"(29.9283595935452, -90.0749738442848)"
MAISON MARAIS,2360 MARAIS ST,,NEW ORLEANS,LA,70117,8806 - .1(43) BED AND BREAKFAST 1 TO 2 ROOMS,GEORGIA SCOTT,3686268.79369,536741.632007,"(29.9697077115161, -90.0528279622884)"
MAGNOLIA MANSION HOTEL,2127 PRYTANIA ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,MAGNOLIA MANSION LLC,3678027.66338,523409.185339,"(29.9332986071222, -90.0793150029912)"
AIRYN MONET,1816 MARENGO ST,,NEW ORLEANS,LA,70115,4703 - BED & BREAKFAST INNS,"HILLARD,RANDY",3671796.07163,521879.528762,"(29.9292785984644, -90.0990398120032)"
HOTEL DE LA MONNAIE OWNERS  ASSOCIATION INC,405 ESPLANADE AVE,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,HOTEL DE LA MONNAIE OWNEASSOCIATION INC,3684951.26537,533814.223941,"(29.9616987714164, -90.0570917988922)"
QUEEN & CRESCENT HOTEL,344 CAMP ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"EHQ&C LIQUOR,LLC",3681226.95074,529538.247873,"(29.9500548215129, -90.0690015589368)"
FRENCH QUARTER MANSION BOUTIQUE HOTEL,730 DUMAINE ST,,NEW ORLEANS,LA,70116,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"BISCUIT PALACE GUESTHOUSE,LLC",3682772.97532,533182.370372,"(29.9600279224559, -90.0639925780389)"
ROYAL SUNSHINE,3810 ROYAL ST,,NEW ORLEANS,LA,70117,4703 - BED & BREAKFAST INNS,ANTHONY & DIA NAPOLITANO,3690951.844,533891.875653,"(29.9617271497188, -90.0381402510938)"
SHERATON NEW ORLEANS HOTEL,500 CANAL ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,SHERATON OPERATING CORP ATTN ACCOUNTS PAYABLE,3681620.18831,530215.835265,"(29.9519060214703, -90.0677362942651)"
"DELTA PROFICIENT MANAGEMENT, LLC",201 BARONNE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,BARONNE PLAZA HOTEL,3680155.78946,530664.581762,"(29.9531843163535, -90.0723445776528)"
NOPSI HOTEL,317 BARONNE ST,,NEW ORLEANS,LA,70112,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,MERRITT HOSPITALITY LLC,3680070.49019,530264.524289,"(29.9520868739067, -90.0726278141096)"
GRAVIER,427 GRAVIER ST,,NEW ORLEANS,LA,70130,4701 - HOTELS (EXC CASINO HOTELS) & MOTELS,"GRAVIER,LLC",3681815.52552,529663.721345,"(29.9503819607114, -90.0671387766084)"
