Week Ending Date,State,Observed Number,Threshold,Exceeds Threshold,Excess,Year,Total Excess in 2020,Percent Excess,Type,Outcome,Suppress
09/16/2017,Alaska,83,103,false,0,2017,0,0.0,Predicted (weighted),All causes,
09/21/2019,Alaska,94,107,false,0,2019,0,0.0,Predicted (weighted),All causes,
09/22/2018,Alaska,84,101,false,0,2018,0,0.0,Predicted (weighted),All causes,
09/23/2017,Alaska,89,104,false,0,2017,0,0.0,Predicted (weighted),All causes,
09/28/2019,Alaska,82,107,false,0,2019,0,0.0,Predicted (weighted),All causes,
09/29/2018,Alaska,81,103,false,0,2018,0,0.0,Predicted (weighted),All causes,
09/30/2017,Alaska,115,105,true,10,2017,0,0.1,Predicted (weighted),All causes,
10/05/2019,Alaska,93,109,false,0,2019,0,0.0,Predicted (weighted),All causes,
10/06/2018,Alaska,91,103,false,0,2018,0,0.0,Predicted (weighted),All causes,
10/07/2017,Alaska,78,105,false,0,2017,0,0.0,Predicted (weighted),All causes,
10/12/2019,Alaska,91,110,false,0,2019,0,0.0,Predicted (weighted),All causes,
