BatchNo,WO#,CreatedDate,AssignedDate,CompletedDate,Status,NodeID,Boro,Support,SupportAction,StreetSignName,SignAction,Size,NewSign
B-1004,69,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59798,Queens,Light Pole,NoAction,211 St,Remove & Install,24,Yes
B-1004,69,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59798,Queens,Light Pole,NoAction,48 Av,Remove & Install,24,Yes
B-1004,70,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59799,Queens,Light Pole,NoAction,211 St,Remove & Install,24,Yes
B-1004,70,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59799,Queens,Light Pole,NoAction,48 St,Remove & Install,24,Yes
B-1004,71,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59881,Queens,Wood Pole,NoAction,212 St,Install,24,Yes
B-1004,71,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59881,Queens,Wood Pole,NoAction,48 Av,Install,24,Yes
B-1004,72,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59882,Queens,Light Pole,NoAction,212 St,Remove & Install,24,Yes
B-1004,72,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59882,Queens,Light Pole,NoAction,48 St,Remove & Install,24,Yes
B-1004,73,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59882,Queens,Light Pole,NoAction,212 St,Remove,24,No
B-1004,73,06/13/2018,07/11/2018,12/03/2018,COMPLETED APPROVED,59882,Queens,Light Pole,NoAction,48 Av,Remove,24,No
B-1004,76,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48661,Bronx,Light Pole,NoAction,Field Pl,Remove & Install,24,Yes
B-1004,76,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48661,Bronx,Light Pole,NoAction,Morris Av,Install,30,Yes
B-1004,77,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48661,Bronx,Pipe,NoAction,Field Pl,Remove & Install,24,Yes
B-1004,77,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48661,Bronx,Pipe,NoAction,Morris Av,Remove & Install,30,Yes
B-1004,78,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48737,Bronx,Light Pole,NoAction,Field Pl,Remove & Install,24,Yes
B-1004,78,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48737,Bronx,Light Pole,NoAction,Ryer Av,Remove & Install,24,Yes
B-1004,79,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48736,Bronx,Traffic Signal,NoAction,E 184 St,Remove & Install,24,Yes
B-1004,79,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48736,Bronx,Traffic Signal,NoAction,Grand Concourse,Remove & Install,30,Yes
B-1004,85,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48662,Bronx,Traffic Signal,NoAction,E 184 St,Remove & Install,24,Yes
B-1004,85,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48662,Bronx,Traffic Signal,NoAction,Morris Av,Remove & Install,30,Yes
B-1004,86,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48662,Bronx,Traffic Signal,NoAction,E 184 St,Remove & Install,24,Yes
B-1004,86,06/14/2018,07/11/2018,12/07/2018,COMPLETED APPROVED,48662,Bronx,Traffic Signal,NoAction,Morris Av,Install,30,Yes
B-1004,87,06/15/2018,07/11/2018,12/12/2018,COMPLETED APPROVED,5472,Staten Island,Pipe,Remove,Lillie Ln,Remove,30,No
B-1004,87,06/15/2018,07/11/2018,12/12/2018,COMPLETED APPROVED,5472,Staten Island,Pipe,Remove,Shale St,Remove,24,No
B-1004,88,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,3480,Staten Island,Pipe,Remove,Country Drive West,Remove,36,No
B-1004,88,06/15/2018,07/11/2018,12/06/2018,COMPLETED APPROVED,3480,Staten Island,Pipe,Remove,Nome Av,Remove,24,No
