Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2017,Robert J. Garagiola,Montgomery County Career Fire Fighters,"Alexander & Cleaver, P.A.",,General budget issues in Montgomery County and employee benefits.,4125.00,3840.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=829,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=829
2016,Patricia A. Harris,The Shelter Group,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=568,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=568
2016,Julie Garner,"AstraZeneca Pharmaceuticals, LP","AstraZeneca Pharmaceuticals, LP",,General business issues impacting our facilities and employees.,0.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=558,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=558
2013,Steven A. Robins,"Clarksburg Outlet Center, LLC","Lerch, Early & Brewer, Chartered",,Land Use Approval,1680.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=75,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=75
2019,Ellen L. Coren,Unibail-Rodamco-Westfield Group,Chesapeake Public Strategies,,Matters related to Westfield in Montgomery County,1349.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2263,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2263
2018,Robert Zinsmeister,Associated Builders and Contractors of Metro Washi,ABC of Metro Washington,,"Issues relating to the construction industry including procurement, prevailing wage, project labor agreements, apprenticeship training and workforce development.",10000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1040,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1040
2019,Steven Silverman,"Davis Bros.Montgomery Farm,LP",SSGOVRELATIONS,,Real estate,6250.00,6250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2225,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2225
2019,Tyler Bennett,"Wawa, Inc.","Compass Government Relations Partners, LLC",,Business and retail store operations,0.00,1887.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2274,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2274
2013,"Devin J. Doolan, Esq.",Roman Catholic Archdioceses of Washington,"Furey, Doolan & Abell, LLP","Elsie R. Reid, Esq.",Monitor all issues regarding mission and operations,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=21,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=21
2019,William Kominers,"Blair Towers, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, pending legislation, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2180,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2180
2020,Steven Silverman,"The High Road Foundation,Inc",SSGOVRELATIONS LLC,,Transportation,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2366,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2366
2015,Heather Dlhopolsky,4918-4938 Battery Lane LLC,Linowes and Blocher LLP,,Bethesda Downtown Plan,450.00,180.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=497,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=497
2015,Jody S. Kline,Maisel-Hollins Development Company,"Miller, Miller & Canby",,Discussion with Councilmembers regarding a curative zoning ordinance text amendment.,0.00,1138.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=534,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=534
2017,Zachary Trupp,Greater Capital Area Association of Realtors,GCAAR,,Generally advocating on behalf of real estate interests for members of our trade organization.,0.00,125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=995,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=995
2014,Jillian Irvin,"Uber Technologies, Inc.",Transportation Services,"Colin Tooze, Zuhairah Washington",Transportation Network Company Legislation.,0.00,7285.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=320,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=320
2017,Steven A. Robins,"Pickford Enterprises, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters and the White Flint 2 Sector Plan.",0.00,11565.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=974,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=974
2019,Steven Silverman,WILLCO,SSGOVRELATIONS,,Real estate,30000.00,30000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2232,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2232
2020,Steven Silverman,Willco,SSGOVRELATIONS LLC,,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2368,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2368
2018,Isaac Meyer,Montgomery County Child Care Coalition,"Compass Government Relations Partners, LLC",,"Advocate on issues related to policies affecting child care services, including proposals for universal pre-K.",0.00,7468.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2160,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2160
2014,Emily J. Vaias,Brookfield Washington LLC,Linowes and Blocher LLP,Nathan Greenbaum,Ten Mile Creek Master Plan/Sectional Map Amendment/Overlay Zone,53304.00,6620.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=287,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=287
2015,Stacy P. Silber,The Goldstar Group,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=494,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=494
2014,William Kominers,Rick & Eileen Mencia,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plan, legislative, and general land use matters.",0.00,3531.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=299,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=299
2019,Christopher M. Ruhlen,4500 East West Highway LLC,"Lerch, Early & Brewer, Chtd.",Elizabeth C. Rogers,"Representation concerning Zoning Text Amendment 19-09, Prohibited Roof Signs � Exceptions.",0.00,2995.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2341,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2341
2016,Steven Silverman,Southern Management Corp.,"SSGOVRELATIONS,LLC",,Real estate matters,12500.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=652,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=652
2020,Steven Silverman,"Buchanan Partners,LLC",SSGOVRELATIONS LLC,,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2356,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2356
2018,Stephen J. Orens,"Garrett Gateway Partners, LLC","McMillan Metro, P.C.",,Pursuing an amendment to the Zoning Ordinance to provide for a pass through tax credit for elevator installation.,3783.00,375.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2113,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2113
2016,"Kerry R. Watson, Jr.",Montgomery County Career Fire Fighters Association,"Alexander & Cleaver, P.A.",,General budget issues in Montgomery County and employee benefits.,0.00,500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=718,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=718
2018,Barbara A. Sears,Bethesda Land LLC,Linowes and Blocher LLP,Phillip A.  Hummel,Bethesda Property,3575.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2097,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2097
2015,Jody S. Kline,"Promark Real Estate Services, LLC","Miller, Miller & Canby",Soo Lee-Cho,Zoning rewrite and potential text amendments relating to the rewrite and map amendment,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=434,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=434
2017,Patricia A. Harris,EYA,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=843,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=843
2017,C. Robert Dalrymple,Washington Property Company,Linowes and Blocher LLP,"Heather Dlhopolsky, Matthew M. Gordon","Sign Ordinance Amendment, Bethesda Downtown Sector Plan, Subdivision Staging Policy, Bill 37-16, ZTA regarding CR Zone Height.",17158.00,4857.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=915,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=915
2017,Jody S. Kline,"Columbia / Wegman Acquisitions, LLC","Miller, Miller & Canby",,"Represent client before Council regarding proposed development impact tax legislation, Bill 32-17.",0.00,3613.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1007,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1007
2014,Gabrielle M. Duvall,Apartment and Office Building Association of Metro,Linowes and Blocher LLP,,"December 5, 2014 Letter to County Executive re: rent control.

Bill No.:  N/A,Meeting on behalf of AOBA with County Executive on December, 9, 2014.",0.00,10959.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=363,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=363
2019,Griffin J Benton,Griffin J Benton,Maryland Builders Industry Association,,"�	Bill 12-18 Councilman Hucker, Residential Solar Bill & Green Building Workgroup (Builder representation)
�	Zoning Text Amendment (ZTA) 19-01 -Councilmember Riemer, Accessory Residential Uses�Accessory Apartments,Montgomery County Custom Builders,Maryland Builders Industry Association and its members",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2268,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2268
2017,Boaz Young-El,United Food & Commercial Workers Union Local 400,UFCW Local 400,,"Paid Sick Days, Campaign Financing, Collective Bargaining, Health Care, Work Labor and Employment",2626.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=883,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=883
2014,"Elsie L. Reid, Esq.",Roman Catholic Archdioceses of Washington,"Furey, Doolan & Abell, LLP","Devin J. Doolan, Esq.",Monitor all issues regarding mission and operations,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=167,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=167
2015,William Roberts,Every Voice Center,Every Voice Center,,Campaign Finance Reform,2623.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=469,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=469
2017,Robert R. Harris,"Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,Land use approvals.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=784,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=784
2013,Miti Figueredo,Chevy Chase Land Company,Chevy Chase Land Company,,Transportation & Land Use policy,1920.00,7305.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=46,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=46
2017,Steven A. Robins,"Peel Properties, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",6741.00,3745.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=812,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=812
2013,C. Robert Dalrymple,Washington Property Company,Linowes and Blocher LLP,,Ripley to Georgia.  Acquisition of right-of-way.,1408.00,5863.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=145,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=145
2015,Barbara A. Sears,EYA,Linowes and Blocher LLP,Phillip A. Hummel,Shady Grove Service Park,1250.00,6250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=458,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=458
2017,Gerard Evans,Life Changing Experiences,"Gerard E. Evans, Ltd.",Hayley Evans,Any and all matters relating to education.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=1004,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=1004
2017,Meredith R Weisel,Jewish Community Relations Council of Greater Wash,Jewish Community Relations Council of Greater Wash,Ron Halber,Matters affecting the Jewish community,4283.00,11327.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=864,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=864
2013,Emily J. Vaias,Barnesville School,Linowes and Blocher LLP,Phillip A. Hummel,Zoning Re-Write,11259.00,3444.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=117,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=117
2017,Soo Lee-Cho,"Maryland Catering Company, Inc.","Miller, Miller & Canby",,"Represent client before County Council in opposition to ZTA 17-04, Country Inn Standards",0.00,2100.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=996,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=996
2020,Steven Silverman,"Montgomery Mall Owner,LLC",SSGOVRELATIONS LLC,,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2364,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2364
2015,Erin Yeagley,UFCW Local 1994 MCGEO,UFCW Local 1994,"Gino Renne, Amy Millar, Yvette Cuffie, Nelvin Ransome, Josh Ardison",To lobby issues pertaining to membership representational purposes and matters related to collective bargaining.,2255.00,390.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=686,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=686
2016,Clive Mackenzie,"Westfield, LLC","Westfield, LLC",Jim Agliata,"Wheaton mall development projects.,Montgomery mall development projects.",6346.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=555,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=555
2018,Ellen Coren,"T-Mobile USA, Inc.",Chesapeake Public Strategies,,Matters related to mobile telecommunications,15000.00,7000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2192,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2192
2013,"Robert G. Brewer, Jr.","Bethesda Fire Department, Inc.","Lerch, Early & Brewer, Chartered",,Assistance regarding County use of Bethesda Fire Department facilities,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=42,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=42
2014,Stephen P. Elmendorf,"Percontee, Inc.",Linowes and Blocher LLP,,East County Master Plan,161700.00,37240.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=283,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=283
2016,Steven A. Silverman,Camalier Limited Partnership,"SSGOVRELATIONS,LLC",,Real estate matters,0.00,3125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=760,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=760
2015,"Kerry R. Watson, Jr.",Angarai International,Alexander & Cleaver. P.A.,,"Business development, regulations, and matters affecting business.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=378,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=378
2019,Gerard Evans,Maryland Asphalt Association,Evans & Associates,Hayley Evans,"Any and all matters affecting the asphalt, paving and construction industry.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2207,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2207
2013,Gus Bauman,"Percontee, Inc.","Beveridge & Diamond, PC",,"White Oak Science Gateway Master Plan
and related land use actions affecting Percontee property",18981.00,21978.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=45,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=45
2016,Ilaya Rome Hopkins,Montgomery County Chamber of Commerce,Montgomery County Chamber of Commerce,,"business climate, economic competitiveness, infrastructure investment, operating budget, capital budget",325678.00,211330.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=622,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=622
