Permit_number,Schedule_Date,Schedule_time,Base_Number,Last_Updated_Date,Last_Updated_Time
AA286,05/11/2020,9:00AM,B02414,05/10/2020,18:05:03.586
AE525,08/17/2020,10:00AM,B02660,05/10/2020,18:05:03.586
AF796,07/27/2020,10:30AM,B03036,05/10/2020,18:05:03.586
AE246,08/28/2020,10:15AM,B03152,05/10/2020,18:05:03.586
AD615,06/26/2020,9:45AM,B02089,05/10/2020,18:05:03.586
AE099,06/12/2020,10:00AM,B01848,05/10/2020,18:05:03.586
AF112,08/20/2020,9:45AM,B02219,05/10/2020,18:05:03.586
AE831,08/12/2020,9:45AM,B02805,05/10/2020,18:05:03.586
AD420,07/06/2020,9:15AM,B02932,05/10/2020,18:05:03.586
BA822,06/03/2020,10:30AM,,05/10/2020,18:05:03.586
AC821,10/06/2020,10:00AM,,05/10/2020,18:05:03.586
BB554,08/20/2020,10:30AM,B01614,05/10/2020,18:05:03.586
BB324,10/05/2020,10:45AM,B02932,05/10/2020,18:05:03.586
AE907,07/01/2020,10:15AM,B03036,05/10/2020,18:05:03.586
AE860,07/27/2020,10:00AM,,05/10/2020,18:05:03.586
AD553,06/08/2020,10:00AM,B01313,05/10/2020,18:05:03.586
AC686,06/04/2020,10:30AM,B02539,05/10/2020,18:05:03.586
BA579,10/20/2020,10:30AM,B03152,05/10/2020,18:05:03.586
AC254,06/10/2020,9:30AM,B02847,05/10/2020,18:05:03.586
AE895,07/24/2020,9:45AM,B02346,05/10/2020,18:05:03.586
AF413,07/30/2020,10:15AM,B02346,05/10/2020,18:05:03.586
AA249,07/09/2020,9:00AM,B02346,05/10/2020,18:05:03.586
AD783,08/25/2020,9:15AM,B01306,05/10/2020,18:05:03.586
AD998,07/27/2020,9:30AM,B00882,05/10/2020,18:05:03.586
AD709,07/14/2020,9:15AM,B02219,05/10/2020,18:05:03.586
AF233,08/11/2020,9:45AM,B01848,05/10/2020,18:05:03.586
AD038,08/27/2020,10:00AM,B01734,05/10/2020,18:05:03.586
AE781,07/21/2020,10:00AM,B01313,05/10/2020,18:05:03.586
AD779,07/16/2020,9:45AM,B01848,05/10/2020,18:05:03.586
AB754,06/01/2020,9:30AM,,05/10/2020,18:05:03.586
AF243,10/09/2020,10:00AM,,05/10/2020,18:05:03.586
AE319,10/15/2020,10:00AM,,05/10/2020,18:05:03.586
BB114,06/30/2020,10:30AM,B03152,05/10/2020,18:05:03.586
BB298,09/22/2020,10:15AM,B01109,05/10/2020,18:05:03.586
AA946,09/17/2020,10:15AM,B03027,05/10/2020,18:05:03.586
BA798,06/04/2020,10:00AM,B02346,05/10/2020,18:05:03.586
BA612,05/14/2020,9:00AM,B01313,05/10/2020,18:05:03.586
AC271,05/18/2020,9:15AM,B02660,05/10/2020,18:05:03.586
AE012,08/14/2020,10:45AM,B02219,05/10/2020,18:05:03.586
AA375,06/05/2020,9:00AM,B02540,05/10/2020,18:05:03.586
AA081,10/08/2020,9:00AM,,05/10/2020,18:05:03.586
AC129,10/09/2020,9:30AM,,05/10/2020,18:05:03.586
ab969,10/06/2020,9:45AM,B01614,05/10/2020,18:05:03.586
BB258,09/14/2020,10:30AM,B01614,05/10/2020,18:05:03.586
AA207,08/20/2020,10:30AM,B01339,05/10/2020,18:05:03.586
AC033,05/19/2020,9:45AM,B02219,05/10/2020,18:05:03.586
AE827,08/04/2020,10:00AM,B02414,05/10/2020,18:05:03.586
AC536,06/24/2020,9:15AM,B01848,05/10/2020,18:05:03.586
AF767,07/23/2020,10:15AM,B02660,05/10/2020,18:05:03.586
AB410,05/14/2020,10:15AM,B02932,05/10/2020,18:05:03.586
AE598,07/22/2020,9:30AM,B02346,05/10/2020,18:05:03.586
AA641,10/22/2020,9:15AM,B01196,05/10/2020,18:05:03.586
AC908,08/03/2020,9:30AM,,05/10/2020,18:05:03.586
AA235,07/30/2020,9:00AM,B01536,05/10/2020,18:05:03.586
AB487,06/19/2020,9:00AM,B02672,05/10/2020,18:05:03.586
AC756,10/26/2020,10:00AM,B01848,05/10/2020,18:05:03.586
BB278,07/29/2020,10:45AM,B01506,05/10/2020,18:05:03.586
