HouseOfWorship,StreetAddress,City,State,Postcode,EntryDate,PermitNumber,DateIssue,DateExpiry,PermitStatus,PermitType,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location
United Community Baptist Church,545 Utica Avenue,Brooklyn,NY,11203,04/30/2008,2019-5916,11/12/2019,11/30/2020,Active,Renew,3,40.659971,-73.931252,17,41,878,3099656,3046040075,Prospect Lefferts Gardens-Wingate,POINT (-73.931252 40.659971)
Spirit of Brotherhood Church/Iglesia  Carismatica,167 South 1st Street,Brooklyn,NY,11211,03/22/2016,2019-5850,10/10/2019,10/31/2020,Active,Renew,3,40.71364,-73.960945,1,34,551,3330012,3023930019,North Side-South Side,POINT (-73.960945 40.71364)
Church of St. Frances of Rome,4307 Barnes Avenue,Bronx,NY,10466,05/01/2008,2019-5862,10/21/2019,10/31/2020,Active,Renew,2,40.895125,-73.853036,12,11,434,2097002,2050450085,Woodlawn-Wakefield,POINT (-73.853036 40.895125)
Bais Hamedrash of Flatbush,1485 East 29th Street,Brooklyn,NY,11229,06/17/2019,2019-5623,06/17/2019,06/30/2020,Active,New,3,40.614314,-73.945526,15,45,642,3340100,3076900051,Madison,POINT (-73.945526 40.614314)
Holy Family Church,366 Watchogue Road,Staten Island,NY,10314,05/12/2008,2019-5598,06/10/2019,06/30/2020,Active,Renew,5,40.616507,-74.141546,1,50,18901,5095191,5004720164,Westerleigh,POINT (-74.141546 40.616507)
Church Of Promise In Christ Inc.,474 Kosciuszko Street,Brooklyn,NY,11221,08/29/2011,2019-5805,09/23/2019,10/31/2020,Active,Renew,3,40.692471,-73.935225,3,36,289,3043403,3016060026,Stuyvesant Heights,POINT (-73.935225 40.692471)
Congregation Adath Yeshurun,3416 Avenue N,Brooklyn,NY,11234,07/08/2012,2019-5754,08/29/2019,08/31/2020,Active,Renew,3,40.617543,-73.941993,18,45,646,3211708,3076960056,Georgetown-Marine Park-Bergen Beach-Mill Basin,POINT (-73.941993 40.617543)
Praise Tabernacle Inc.,108-11 Sutphin Blvd,Jamaica,NY,11435,08/31/2017,2019-5773,09/03/2019,09/30/2020,Active,Renew,4,40.69271,-73.799056,12,28,254,4216052,4101410054,South Jamaica,POINT (-73.799056 40.69271)
"Yeshivat Hechal Shemuel, Inc.",1532 E 10th Street,Brooklyn,NY,11230,07/05/2016,2019-5671,07/09/2019,07/31/2020,Active,Renew,3,40.611502,-73.963688,12,44,420,3175145,3066160019,Homecrest,POINT (-73.963688 40.611502)
First Moravian Church,154 Lexington Avenue.,New York,NY,10016,08/12/2011,2019-5706,08/01/2019,08/31/2020,Active,Renew,1,40.743695,-73.981707,5,2,72,1018279,1008850071,Murray Hill-Kips Bay,POINT (-73.981707 40.743695)
Salvation Tabernacle Inc.,138-19 101 Avenue,Jamaica,NY,11435,03/24/2011,2019-5491,04/04/2019,04/30/2020,Active,Renew,4,40.694422,-73.810295,12,28,206,4214196,4100100024,Jamaica,POINT (-73.810295 40.694422)
"The Church Bethesda, Inc.",1257 Gates Avenue,Brooklyn,NY,11221,11/04/2017,2019-5720,08/01/2019,08/31/2020,Active,Renew,3,40.693336,-73.918308,4,34,417,3076273,3033320046,Bushwick South,POINT (-73.918308 40.693336)
Iglesia Pentecostal Esmirna Inc.,1115 Blake Avenue,Brooklyn,NY,11208,05/18/2015,2019-5577,05/20/2019,05/31/2020,Active,Renew,3,40.670518,-73.876678,5,42,1194,3089948,3040560053,East New York,POINT (-73.876678 40.670518)
God's Battalion Of Prayer Church,661 Linden Boulevard,Brooklyn,NY,11203,05/09/2008,2019-5650,07/09/2019,07/31/2020,Active,Renew,3,40.653599,-73.93403,17,41,870,3108481,3048670025,East Flatbush-Farragut,POINT (-73.93403 40.653599)
Emmanuel Temple,51-53 Rogers Avenue,Brooklyn,NY,11216,05/07/2008,2019-5860,10/16/2019,10/31/2020,Active,Renew,3,40.675871,-73.952711,8,36,315,3030639,3012190002,Crown Heights North,POINT (-73.952711 40.675871)
St. Mary Protectress,97-06 87th Street,Ozone Park,NY,11416,01/22/2010,2019-5562,05/06/2019,05/31/2020,Active,Renew,4,40.683726,-73.85352,9,32,42,4188321,4090580005,Woodhaven,POINT (-73.85352 40.683726)
United Methodist  Parish In Bushwick,1139 Bushwick Avenue,Brooklyn,NY,11221,12/21/2017,2019-5510,04/16/2019,04/30/2020,Active,Renew,3,40.689389,-73.91793,4,34,399,3076964,3033670004,Bushwick South,POINT (-73.91793 40.689389)
Bethel Assembly Of God,128 - 18  115th Avenue,S. Ozone Park,NY,11420,04/30/2008,2019-5885,11/06/2019,11/30/2020,Active,Renew,4,40.679292,-73.811549,10,28,176,4574874,4116720008,South Ozone Park,POINT (-73.811549 40.679292)
Merkos L'Inyonei Chinuch,784 Eastern Parkway,Brooklyn,NY,11213,05/21/2008,2019-5823,09/23/2019,09/30/2020,Active,Renew,3,40.669422,-73.942705,9,35,337,3033034,3012710035,Crown Heights North,POINT (-73.942705 40.669422)
Faith Life Ministries,285 Buffalo Avenue,Brooklyn,NY,11213,05/07/2008,2019-5781,09/05/2019,08/31/2020,Active,Renew,3,40.669157,-73.925511,8,41,359,3037415,3013930007,Crown Heights North,POINT (-73.925511 40.669157)
"Eight Church Of Christ, Scientist",103 East 77TH Street,New York,NY,10021,09/07/2010,2019-5788,09/13/2019,09/30/2020,Active,Renew,1,40.774164,-73.961072,8,4,140,1043185,1014120005,Upper East Side-Carnegie Hill,POINT (-73.961072 40.774164)
Jewish Center Of Kings Highway,1202 Avenue P,Brooklyn,NY,11229,08/16/2010,2019-5738,08/08/2019,08/31/2020,Active,Renew,3,40.610107,-73.961218,15,48,554,3182326,3067750001,Homecrest,POINT (-73.961218 40.610107)
"New Beginnings Christian Life Center, Inc.",658 Hancock Street,Brooklyn,NY,11233,04/21/2017,2019-5547,05/06/2019,05/31/2020,Active,Renew,3,40.684944,-73.929012,3,36,383,3046207,3016620011,Stuyvesant Heights,POINT (-73.929012 40.684944)
Covenant Church,23-17 Francis Lewis Boulevard,Whitestone,NY,11357,05/19/2008,2019-5742,08/27/2019,08/31/2020,Active,Renew,4,40.776544,-73.799756,7,19,1017,4129168,4057590023,Ft. Totten-Bay Terrace-Clearview,POINT (-73.799756 40.776544)
Jesus' Witness Church,90-53 210th Street,Queens Village,NY,11428,05/14/2008,2019-5769,09/03/2019,09/30/2020,Active,Renew,4,40.718759,-73.753314,13,23,496,4225217,4105630001,Queens Village,POINT (-73.753314 40.718759)
Christian Church John 3:16,102-07 43rd Avenue,Corona,NY,11368,04/29/2008,2019-5889,11/06/2019,11/30/2020,Active,Renew,4,40.747267,-73.862518,4,21,405,4048572,4019770004,North Corona,POINT (-73.862518 40.747267)
Purpose Life Church,4021 Flatlands Ave,Brooklyn,NY,11234,05/09/2017,2019-5816,09/23/2019,10/31/2020,Active,Renew,3,40.622405,-73.933574,18,45,736,3217295,3078220001,Flatlands,POINT (-73.933574 40.622405)
The New Move of God Pentecostal Church,327 Bolton Avenue,Bronx,NY,10473,04/11/2018,2019-5523,04/26/2019,04/30/2020,Active,Renew,2,40.812152,-73.857005,9,18,2,2020480,2034730049,Soundview-Castle Hill-Clason Point-Harding Park,POINT (-73.857005 40.812152)
Pentecostal Christian Church John 3:16,85 Forbell Street,Brooklyn,NY,11208,12/27/2016,2019-5814,09/23/2019,10/31/2020,Active,Renew,3,40.681283,-73.864771,5,37,1186,3093888,3041790001,Cypress Hills-City Line,POINT (-73.864771 40.681283)
St. John's Evangelical Lutheran Church,"155 Milton Street, P O Box 72",Brooklyn,NY,11222,09/16/2015,2019-5849,10/09/2019,10/31/2020,Active,Renew,,,,,,,,,,
Cypress Hills Assembly of God,197-199 Highland Place,Brooklyn,NY,11208,06/20/2012,2019-5647,07/09/2019,07/31/2020,Active,Renew,3,40.680326,-73.880907,5,37,1174,3088177,3039590012,Cypress Hills-City Line,POINT (-73.880907 40.680326)
Mt. Zion AME,1765 Madison Avenue,New York,NY,10029,05/23/2008,2019-5901,11/06/2019,11/30/2020,Active,Renew,1,40.799876,-73.944915,11,8,184,1051651,1016210050,East Harlem North,POINT (-73.944915 40.799876)
St. Nicholas Antiochian Orthodox Cathedral,355 State Street,Brooklyn,NY,11217,05/28/2008,2019-5908,11/06/2019,11/30/2020,Active,Renew,3,40.68779,-73.984953,2,33,41,3000543,3001710039,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.984953 40.68779)
Greek Orthodox Church Of St. John The Baptist,143 East 17th Street,New York,NY,10003,07/03/2012,2019-5691,07/26/2019,07/31/2020,Active,Renew,1,40.735645,-73.986815,6,2,50,1017852,1008730032,Gramercy,POINT (-73.986815 40.735645)
St. Demetrios Greek Orthodox Church,84-35 152nd Street,Jamaica,NY,11432,05/23/2008,2019-5493,04/04/2019,04/30/2020,Active,Renew,4,40.713072,-73.807973,8,24,230,4208741,4097490036,Briarwood-Jamaica Hills,POINT (-73.807973 40.713072)
Jewish Center Torath Emeth,78-15 Parsons Boulevard,Flushing,NY,11366,04/01/2011,2019-5599,06/10/2019,06/30/2020,Active,Renew,4,40.721959,-73.809697,8,24,1257,4147910,4068290001,Kew Gardens Hills,POINT (-73.809697 40.721959)
St. John-St. Matthew-Emanuel Lutheran Church,283 Prospect Ave.,Brooklyn,NY,11215,04/13/2015,2019-5503,04/10/2019,04/30/2020,Active,Renew,3,40.663323,-73.989165,7,39,141,3337801,3010530073,Park Slope-Gowanus,POINT (-73.989165 40.663323)
Fordham Evangelical Lutheran Church,2430 Walton Avenue,Bronx,NY,10468,05/08/2008,2019-5585,06/03/2019,05/31/2020,Active,Renew,2,40.861624,-73.900791,5,14,239,2014022,2031840030,Fordham South,POINT (-73.900791 40.861624)
Islamic Guidance Center,543 Atlantic Avenue,Brooklyn,NY,11217,05/13/2008,2019-5812,09/23/2019,10/31/2020,Active,Renew,3,40.684893,-73.97957,2,33,39,3000803,3001800050,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,POINT (-73.97957 40.684893)
Jewish Center Nachlath Zion,2201 East 23rd Street,Brooklyn,NY,11229,05/14/2008,2019-5526,04/29/2019,04/30/2020,Active,Renew,3,40.597223,-73.948043,15,48,59401,3336728,3073820001,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.948043 40.597223)
Neighborhood Church of Greenwich Village,269 Bleecker Street,New York,NY,10014,05/19/2008,2019-5659,07/09/2019,07/31/2020,Active,Renew,1,40.731421,-74.003099,2,3,67,1010131,1005900007,West Village,POINT (-74.003099 40.731421)
Long Island City Gospel Church,12-11 40th avenue,Long Island Cit,NY,11101,11/18/2016,2019-5900,11/06/2019,11/30/2020,Active,Renew,4,40.755973,-73.942645,1,26,85,4005332,4004720624,Queensbridge-Ravenswood-Long Island City,POINT (-73.942645 40.755973)
Havurat Yisrael,106-20 70th Avenue,Forest Hills,NY,11375,06/06/2019,2019-5780,09/04/2019,09/30/2020,Active,New,4,40.721224,-73.846785,6,29,711,4439623,4032387503,Forest Hills,POINT (-73.846785 40.721224)
Congregation Bnai Jeshurun,257 West 88th Street,New York,NY,10024,06/17/2013,2019-5592,06/10/2019,06/30/2020,Active,Renew,1,40.789945,-73.976302,7,6,175,1033290,1012360005,Upper West Side,POINT (-73.976302 40.789945)
Metropolitan Koryo United Methodist Church,150 East 62nd Street,New York,NY,10065,05/01/2013,2019-5581,05/30/2019,05/31/2020,Active,Renew,1,40.763881,-73.966298,8,4,11402,1041990,1013960044,Upper East Side-Carnegie Hill,POINT (-73.966298 40.763881)
Dewitt Reformed Church,280 Rivington Street,New York,NY,10002,04/26/2010,2019-5648,07/09/2019,07/31/2020,Active,Renew,1,40.717468,-73.979726,3,2,1002,1004060,1003230073,Lower East Side,POINT (-73.979726 40.717468)
Jubilee Baptist Church  Inc.,3306 White Plains Road,Bronx,NY,10467,05/09/2018,2019-5545,05/03/2019,05/31/2020,Active,Renew,2,40.873486,-73.867077,12,12,374,2056303,2046000003,Williamsbridge-Olinville,POINT (-73.867077 40.873486)
Battalion Pentecostal Assembly,454 Beach 67th Street,Arverne,NY,11692,04/28/2008,2019-5924,11/18/2019,08/31/2020,Active,Renew,4,40.593999,-73.796263,14,31,964,4438906,4160400024,Hammels-Arverne-Edgemere,POINT (-73.796263 40.593999)
Solid Rock Baptist Church,120 Tompkins Avenue,Brooklyn,NY,11206,03/04/2014,2019-5619,06/13/2019,05/31/2020,Active,Renew,3,40.695189,-73.946279,3,36,25901,3048647,3017550046,Bedford,POINT (-73.946279 40.695189)
Crossroads SDA Church,410 West 45th Street,New York,NY,10036,07/01/2011,2019-5728,08/02/2019,07/31/2020,Active,Renew,1,40.760601,-73.991835,4,3,121,1026422,1010540039,Clinton,POINT (-73.991835 40.760601)
Templo De La Fe Viva. Inc.,4221 Park Avenue,Bronx,NY,10457,03/21/2016,2019-5668,07/09/2019,07/31/2020,Active,Renew,2,40.847984,-73.899156,6,15,379,2011095,2030270041,Mount Hope,POINT (-73.899156 40.847984)
Apostolic Faith Church Mission,265 Lafayette Avenue,Brooklyn,NY,11238,10/02/2010,2019-5915,11/08/2019,10/31/2020,Active,Renew,3,40.688236,-73.965669,2,35,197,3055341,3019320001,Clinton Hill,POINT (-73.965669 40.688236)
Oversea Chinese Mission,154 Hester Street,New York,NY,10013,05/20/2008,2019-5772,09/03/2019,09/30/2020,Active,Renew,1,40.717656,-73.996526,2,1,41,1002618,1002040016,SoHo-TriBeCa-Civic Center-Little Italy,POINT (-73.996526 40.717656)
Holy Cross Greek Orthodox Church,150-05 12th Avenue,Whitestone,NY,11357,07/24/2008,2019-5597,06/10/2019,06/30/2020,Active,Renew,4,40.790835,-73.814155,7,19,981,4541690,4045160001,Whitestone,POINT (-73.814155 40.790835)
St. Stephen's Lutheran Church,2806 Newkirk Avenue,New York,NY,11226,04/28/2015,2019-5511,04/16/2019,04/30/2020,Active,Renew,3,40.639872,-73.950135,17,45,828,3120497,3052150037,Erasmus,POINT (-73.950135 40.639872)
Islamic Mission of America,143 State Street,Brooklyn,NY,11201,05/13/2008,2019-5899,11/06/2019,11/30/2020,Active,Renew,3,40.69073,-73.993408,2,33,9,3002669,3002700019,Brooklyn Heights-Cobble Hill,POINT (-73.993408 40.69073)
ReHoboth Cathedral International,55 Macdougal Street,Brooklyn,NY,11233,09/21/2011,2019-5817,09/23/2019,10/31/2020,Active,Renew,3,40.679238,-73.920117,3,41,379,3041441,3015240041,Stuyvesant Heights,POINT (-73.920117 40.679238)
"Missionary Church Of Christ, Inc.",937 Teller Avenue,Bronx,NY,10451,08/24/2015,2019-5771,09/03/2019,09/30/2020,Active,Renew,2,40.82612,-73.915561,4,17,173,2001966,2024220035,East Concourse-Concourse Village,POINT (-73.915561 40.82612)
Holy Innocents Church,128 West 37th Street,New York,NY,10018,12/23/2014,2019-5579,05/29/2019,05/31/2020,Active,Renew,1,40.752339,-73.987938,5,3,109,1015251,1008120161,Midtown-Midtown South,POINT (-73.987938 40.752339)
Iglesia Nueva Vida,33- 66 54th Street,Woodside,NY,11377,02/16/2019,2019-5834,10/02/2019,10/31/2020,Active,New,4,40.751863,-73.907552,2,26,255,4027257,4011920088,Woodside,POINT (-73.907552 40.751863)
First United Methodist Church of Corona,42-15 104th St.,Corona,NY,11368,07/13/2017,2019-5809,09/23/2019,10/31/2020,Active,Renew,4,40.748193,-73.860824,4,21,403,4437337,4019860078,North Corona,POINT (-73.860824 40.748193)
Thessalonica Christian Church,313 Saint Ann's Avenue,Bronx,NY,10454,10/17/2016,2019-5914,11/07/2019,11/30/2020,Active,Renew,2,40.808963,-73.916089,1,8,41,2000099,2022680048,Mott Haven-Port Morris,POINT (-73.916089 40.808963)
First Roumanian American Congregation,89 Rivington Street,New York,NY,10002,05/08/2008,2019-5541,05/03/2019,05/31/2020,Active,Renew,1,40.72022,-73.988849,3,1,18,1079695,1004100013,Chinatown,POINT (-73.988849 40.72022)
Congregation Ohr Shraga D'veretzky,1102 Avenue L,Brooklyn,NY,11230,06/08/2016,2019-5703,08/01/2019,08/31/2020,Active,Renew,3,40.619994,-73.964101,14,44,768,3329237,3067310001,Midwood,POINT (-73.964101 40.619994)
Merkaz Hatefillah,1898 Bay Avenue,Brooklyn,NY,11230,05/21/2008,2019-5636,07/08/2019,06/30/2020,Active,Renew,3,40.617961,-73.956239,14,48,538,3329246,3067470015,Midwood,POINT (-73.956239 40.617961)
Church of the Holy Apostles,296 Ninth Avenue,New York,NY,10001,06/24/2019,2019-5634,07/08/2019,07/31/2020,Active,New,1,40.74912,-73.999401,4,3,97,1013463,1007510076,Hudson Yards-Chelsea-Flatiron-Union Square,POINT (-73.999401 40.74912)
Apostolic Gospel Church of Christ Inc,99-105 Chester Street,Brooklyn,NY,11212,01/20/2010,2019-5590,06/10/2019,06/30/2020,Active,Renew,3,40.669032,-73.911521,16,41,924,3326591,3035210033,Brownsville,POINT (-73.911521 40.669032)
Congregation Kehilath Jeshurum,117 East 85th Street,New York,NY,10028,05/05/2008,2019-5535,05/03/2019,05/31/2020,Active,Renew,1,40.779183,-73.956935,8,4,14801,1047929,1015140013,Upper East Side-Carnegie Hill,POINT (-73.956935 40.779183)
Knickerbocker United Methodist Church,484 Knickerbocker Avenue,Brooklyn,NY,11237,05/15/2008,2019-5709,08/01/2019,08/31/2020,Active,Renew,3,40.698381,-73.917616,4,37,433,3075669,3033070034,Bushwick North,POINT (-73.917616 40.698381)
New York  Bethzatha Church of God,208 - 01  43rd Ave,Bayside,NY,11361,09/01/2015,2019-5615,06/12/2019,06/30/2020,Active,Renew,4,40.75987,-73.775975,11,19,1467,4138097,4062720037,Bayside-Bayside Hills,POINT (-73.775975 40.75987)
"Adonijah Fellowship, Inc",549 Gates Avenue,Brooklyn,NY,11216,04/03/2013,2019-5499,04/10/2019,04/30/2020,Active,Renew,3,40.68688,-73.944922,3,36,265,3050964,3018090045,Bedford,POINT (-73.944922 40.68688)
Brooklyn Miracle Temple,333 Rogers Avenue,Brooklyn,NY,11225,05/05/2008,2019-5760,09/03/2019,09/30/2020,Active,Renew,3,40.665112,-73.953717,9,35,321,3330690,3013050005,Crown Heights South,POINT (-73.953717 40.665112)
Calvary Assembly of God,102-07 Rockaway Boulevard,Ozone Park,NY,11417,04/28/2008,2019-5888,11/06/2019,11/30/2020,Active,Renew,4,40.679703,-73.837608,10,32,94,4438644,4095250040,South Ozone Park,POINT (-73.837608 40.679703)
Unity Church Of New York,225 West 99th Street,New York,NY,10025,11/18/2014,2019-5920,11/14/2019,11/30/2020,Active,Renew,1,40.796259,-73.969564,7,7,187,1084035,1018710029,Upper West Side,POINT (-73.969564 40.796259)
"Beulah Church Of God In Christ Jesus, Inc.",956 Marcy Avenue,Brooklyn,NY,11216,11/12/2010,2019-5886,11/06/2019,11/30/2020,Active,Renew,3,40.680642,-73.946297,3,36,249,3329701,3018500032,Bedford,POINT (-73.946297 40.680642)
Immaculate Heart of Mary Roman Catholic Church,2805 Fort Hamilton Parkway,Brooklyn,NY,11218,05/13/2008,2019-5653,07/09/2019,07/31/2020,Active,Renew,3,40.649125,-73.976771,7,39,500,3122827,3052830061,Windsor Terrace,POINT (-73.976771 40.649125)
Christian Heritage Church,740 40th Street,Brooklyn,NY,11232,08/22/2017,2019-5746,08/27/2019,09/30/2020,Active,Renew,3,40.647462,-73.999132,7,38,90,3018068,3009190016,Sunset Park East,POINT (-73.999132 40.647462)
Evangelical Immanuel Lutheran Church,149-40 11th Avenue,Whitestone,NY,11357,07/24/2008,2019-5694,07/26/2019,07/31/2020,Active,Renew,4,40.791217,-73.815963,7,19,981,4102411,4045030021,Whitestone,POINT (-73.815963 40.791217)
Vision Pentecostal Church Inc,1050 Utica Avenue,Brooklyn,NY,11203,01/25/2010,2019-5922,11/15/2019,09/30/2020,Active,Renew,3,40.64727,-73.929914,17,45,850,3104298,3047340019,East Flatbush-Farragut,POINT (-73.929914 40.64727)
Agudath Israel of Madison,2122 Avenue S,Brooklyn,NY,11229,04/25/2008,2019-5883,11/06/2019,11/30/2020,Active,Renew,3,40.604163,-73.950969,15,48,560,3254097,3073000008,Madison,POINT (-73.950969 40.604163)
Church of God - Remsen Avenue,627-29 Remsen Avenue,Brooklyn,NY,11236,04/29/2008,2019-5844,10/04/2019,09/30/2020,Active,Renew,3,40.651657,-73.918683,17,42,888,3103338,3047110012,Rugby-Remsen Village,POINT (-73.918683 40.651657)
Ridgewood Presbyterian Church,59-14 70 Avenue,Ridgewood,NY,11385,11/22/2011,2019-5490,04/04/2019,04/30/2020,Active,Renew,4,40.701191,-73.900024,5,30,583,4084122,4035080009,Ridgewood,POINT (-73.900024 40.701191)
Saint Paul Tabernacle Inc,2239 Pitkin Ave,Brooklyn,NY,11207,02/23/2018,2019-5553,05/06/2019,05/31/2020,Active,Renew,3,40.672801,-73.889785,5,37,1152,3088790,3039940031,East New York,POINT (-73.889785 40.672801)
Congregation Anshei Breslov,204 Lee Avenue,Brooklyn,NY,11206,05/05/2008,2019-5591,06/10/2019,06/30/2020,Active,Renew,3,40.701723,-73.955488,1,33,531,3061122,3022310038,Bedford,POINT (-73.955488 40.701723)
Congregation And Yeshiva Heichal Moshe,303 West 91st Street,New York,NY,10024,05/03/2013,2019-5750,08/27/2019,08/31/2020,Active,Renew,1,40.792185,-73.975785,7,6,179,1034100,1012510053,Upper West Side,POINT (-73.975785 40.792185)
Hebron Baptist Church,450 Fountain Avenue,Brooklyn,NY,11208,05/12/2008,2019-5651,07/09/2019,07/31/2020,Active,Renew,3,40.668823,-73.873426,5,42,1118,3327469,3044580030,East New York,POINT (-73.873426 40.668823)
Almarwa Center,24-30 Steinway Street,Astoria,NY,11103,07/19/2017,2019-5673,07/10/2019,07/31/2020,Active,Renew,4,40.768584,-73.911179,1,22,143,4010273,4006540056,Astoria,POINT (-73.911179 40.768584)
New Life Ministries Inc,347 East 49th Street,Brooklyn,NY,11203,05/19/2008,2019-5828,09/26/2019,08/31/2020,Active,Renew,3,40.653285,-73.931547,17,41,868,3102073,3046750001,Rugby-Remsen Village,POINT (-73.931547 40.653285)
Agape Christian Center,59-02 SummerField Street,Ridgewood,NY,11385,04/25/2008,2019-5639,07/09/2019,07/31/2020,Active,Renew,4,40.699452,-73.897837,5,34,557,4086718,4035890001,Ridgewood,POINT (-73.897837 40.699452)
Church of St. Lucy,833 Mace Avenue,Bronx,NY,10467,11/02/2018,2019-5891,11/06/2019,11/30/2020,Active,Renew,2,40.86313,-73.862427,11,13,328,2051535,2044410005,Bronxdale,POINT (-73.862427 40.86313)
Trinity Evangelical Lutheran Church,2125 Watson Avenue,Bronx,NY,10472,05/11/2018,2019-5721,08/01/2019,08/31/2020,Active,Renew,2,40.829501,-73.852614,9,18,78,2026420,2038090018,Westchester-Unionport,POINT (-73.852614 40.829501)
Christian Church Of Christ The King Is Coming,2414 Valentine Avenue,Bronx,NY,10458,04/07/2015,2019-5858,10/16/2019,10/31/2020,Active,Renew,2,40.859639,-73.896984,5,15,39902,2013455,2031470016,Bedford Park-Fordham North,POINT (-73.896984 40.859639)
St. Barbara Greek Orthodox Church,27 Forsyth Street,New York,NY,10002,01/22/2010,2019-5631,06/26/2019,06/30/2020,Active,Renew,1,40.715397,-73.994391,3,1,16,1003758,1002920008,Chinatown,POINT (-73.994391 40.715397)
Church of God of Prophecy,1243 Bushwick Avenue,Brooklyn,NY,11221,05/01/2008,2019-5761,09/03/2019,09/30/2020,Active,Renew,3,40.687578,-73.914749,4,37,399,3078191,3033950001,Bushwick South,POINT (-73.914749 40.687578)
Mikdash Eliyahu,400 Avenue U,Brooklyn,NY,11223,07/19/2017,2019-5710,08/01/2019,08/31/2020,Active,Renew,3,40.597404,-73.969313,15,47,396,3192819,3071297501,Homecrest,POINT (-73.969313 40.597404)
Grace United Methodist Church,200-08 Murdock Avenue,St. Albans,NY,11412,08/15/2014,2019-5734,08/07/2019,08/31/2020,Active,Renew,4,40.700045,-73.754501,12,27,520,4236681,4110170001,St. Albans,POINT (-73.754501 40.700045)
St. Matthew's Baptist Church,43 Macombs Place,New York,NY,10039,10/21/2013,2019-5878,11/01/2019,10/31/2020,Active,Renew,1,40.826406,-73.938332,10,9,236,1060605,1020370005,Central Harlem North-Polo Grounds,POINT (-73.938332 40.826406)
Hollis Hills Bayside Jewish Center,210-10 Union Turnpike,Flushing,NY,11364,05/12/2008,2019-5898,11/06/2019,11/30/2020,Active,Renew,4,40.733374,-73.760595,11,23,129102,4164607,4077840045,Oakland Gardens,POINT (-73.760595 40.733374)
Hungarian Baptist Church,225 East 80th Street,New York,NY,10075,05/12/2008,2019-5570,05/13/2019,05/31/2020,Active,Renew,1,40.77467,-73.956071,8,5,138,1048527,1015260012,Yorkville,POINT (-73.956071 40.77467)
Church of St. Teresa,141 Henry Street,New York,NY,10002,05/02/2008,2019-5702,08/01/2019,08/31/2020,Active,Renew,1,40.713344,-73.990683,3,1,6,1003566,1002830017,Lower East Side,POINT (-73.990683 40.713344)
Ling Liang Worldwide Evangelistic Mission Inc,177 East Broadway,New York,NY,10002,05/15/2008,2019-5730,08/05/2019,08/31/2020,Active,Renew,1,40.714107,-73.989539,3,1,6,1003622,1002840022,Lower East Side,POINT (-73.989539 40.714107)
East Midwood Jewish Center,1625 Ocean Avenue,Brooklyn,NY,11230,05/06/2008,2019-5739,08/08/2019,05/31/2020,Active,Renew,3,40.622341,-73.955743,14,45,760,3208316,3076200025,Midwood,POINT (-73.955743 40.622341)
The Remnant Presbyterian Church,206 East 29TH Street,New York,NY,10016,10/13/2011,2019-5820,09/23/2019,10/31/2020,Active,Renew,1,40.742399,-73.979986,6,2,66,1019909,1009090050,Murray Hill-Kips Bay,POINT (-73.979986 40.742399)
Congregation Toras Emes of Staten Island,3151 Hylan Boulevard,Staten Island,NY,10306,05/06/2008,2019-5747,08/27/2019,08/31/2020,Active,Renew,5,40.559269,-74.125125,3,50,13204,5063411,5047140001,Oakwood-Oakwood Beach,POINT (-74.125125 40.559269)
The Riverside Church In The City Of New York,490 Riverside Drive,New York,NY,10027,03/11/2013,2019-5506,04/10/2019,04/30/2020,Active,Renew,1,40.812319,-73.963268,9,7,205,1081792,1019910032,Morningside Heights,POINT (-73.963268 40.812319)
United Christian Baptist Church,713 East 222nd Street,Bronx,NY,10467,10/31/2019,2019-5879,11/01/2019,11/30/2020,Active,New,2,40.885448,-73.860844,12,12,396,2063318,2048360040,Williamsbridge-Olinville,POINT (-73.860844 40.885448)
Emmanuel Episcopal Church,2635 East 23rd Street,Brooklyn,NY,11235,05/06/2008,2019-5791,09/16/2019,09/30/2020,Active,Renew,3,40.587769,-73.946725,15,48,600,3205176,3074680080,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,POINT (-73.946725 40.587769)
Fellowship Moravian Church,1950 Bedford Avenue,Brooklyn,NY,11225,04/22/2019,2019-5569,05/10/2019,05/31/2020,Active,New,3,40.65734,-73.956559,9,40,79601,3115676,3050450051,Prospect Lefferts Gardens-Wingate,POINT (-73.956559 40.65734)
Antioch Baptist Church,828 Greene Avenue,Brooklyn,NY,11221,04/25/2008,2019-5532,05/03/2019,05/31/2020,Active,Renew,3,40.690248,-73.935032,3,36,291,3044038,3016200025,Stuyvesant Heights,POINT (-73.935032 40.690248)
Gustavus Adolphus Lutheran Church,155 E 22nd St.,New York,NY,10010,09/19/2019,2019-5838,10/02/2019,10/31/2020,Active,New,1,40.738579,-73.984592,6,2,68,1018018,1008780034,Gramercy,POINT (-73.984592 40.738579)
Trinity Baptist Church,808 Rev Dr Nathaniel Tyler Lloyd Pl,Bronx,NY,10466,10/26/2015,2019-5870,10/29/2019,10/31/2020,Active,Renew,,,,,,,,,,
