PRE DIR,PRE TYPE,STREET NAME,STREET TYPE,STATUS
,,COLLINS,ST,ACTIVE
,,COLORADO,ST,ACTIVE
,,COLT,ST,ACTIVE
,,COLUMBINE,ST,ACTIVE
,,COLUMBUS,ST,ACTIVE
,,COMAL,ST,ACTIVE
,,COMANCHE,ST,ACTIVE
,,COMETA,ST,ACTIVE
,,COMFORT,ST,ACTIVE
,,COMMERCE,ST,ACTIVE
,,CONCHO,ST,ACTIVE
,,CONFEDERATE,ST,ACTIVE
,,TERCEL,TRCE,ACTIVE
,,SWEETGUM,TRCE,ACTIVE
,,SINGLE,TRCE,ACTIVE
,,SHADOWLAWN,TRCE,ACTIVE
,,REDWOOD,TRCE,ACTIVE
,,CLEARVIEW,DR,ACTIVE
,,CLEARVIEW,DR,ACTIVE
,,CLEAROCK,DR,ACTIVE
,,CLEARFIELD,DR,ACTIVE
,,CLEARDAY,DR,ACTIVE
,,CLEARCREEK,DR,ACTIVE
,,CIELO VISTA,DR,ACTIVE
,,CHURCHILL DOWNS,DR,ACTIVE
,,CHURCHILL,DR,ACTIVE
,,DWYCE,DR,ACTIVE
,,DURHAM,DR,ACTIVE
,,DUQUESNE,DR,ACTIVE
,,DUPREE,DR,ACTIVE
,,DUNSTAN,DR,ACTIVE
,,DOG LEG,DR,ACTIVE
,,DOEFIELD,DR,ACTIVE
,,DODGE CATTLE,DR,ACTIVE
,,DOCTOR SCOTT,DR,ACTIVE
,,DOBUSH,DR,ACTIVE
,,DOBIE,DR,ACTIVE
,,DOBBIN,DR,ACTIVE
,,DIXON,DR,ACTIVE
,,DIXIE,DR,ACTIVE
,,DIVIDE,DR,ACTIVE
,,DITTMAR OAKS,DR,ACTIVE
,,DISTANT VIEW,DR,ACTIVE
,,DIOR,DR,ACTIVE
,,DIONYSUS,DR,ACTIVE
,,DILLWEED,DR,ACTIVE
,,DILLIONHILL,DR,ACTIVE
,,DIJON,DR,ACTIVE
,,DICKSON,DR,ACTIVE
,,DIANE,DR,ACTIVE
,,DIANA,DR,ACTIVE
,,DIAMOND HEAD,DR,ACTIVE
,,DEXMOOR,DR,ACTIVE
,,DEXLER,DR,ACTIVE
,,DEXFORD,DR,ACTIVE
,,DEWBERRY,DR,ACTIVE
,,DEWBERRY,DR,ACTIVE
,,DEVONSHIRE,DR,ACTIVE
,,DEVEREUX,DR,ACTIVE
,,DEURNE,DR,ACTIVE
,,DEUPREE,DR,ACTIVE
,,DESTINYS GATE,DR,ACTIVE
,,DESTINY HILLS,DR,ACTIVE
,,DESIRABLE,DR,ACTIVE
,,DESERT WILLOW,DR,ACTIVE
,,DESCO,DR,ACTIVE
,,DERVINGHAM,DR,ACTIVE
,,DEREK,DR,ACTIVE
,,DERECHO,DR,ACTIVE
,,DERBY DOWNS,DR,ACTIVE
,,DEPUTY,DR,ACTIVE
,,DENWOOD,DR,ACTIVE
,,DENTON,DR,ACTIVE
,,EDGEWATER,DR,ACTIVE
,,EAGLE LOOKOUT,DR,ACTIVE
,,EAGLE KNOLL,DR,ACTIVE
,,DENISE,DR,ACTIVE
,,DENFIELD,DR,ACTIVE
,,DEMONA,DR,ACTIVE
,,DEMARETT,DR,ACTIVE
,,DAGON,DR,ACTIVE
,,DAGAMA,DR,ACTIVE
,,DAFFODIL,DR,ACTIVE
,,DAFFODIL,DR,ACTIVE
,,CYRILLA,DR,ACTIVE
,,CYPRESS CREEK,DR,ACTIVE
,,CYPRESS,DR,ACTIVE
,,CYPRESS,DR,ACTIVE
,,CYNTHIA,DR,ACTIVE
,,CUTBACK,DR,ACTIVE
,,CUSHING PARK,DR,ACTIVE
,,CUSHING,DR,ACTIVE
,,CURTIS,DR,ACTIVE
,,CURRYWOOD,DR,ACTIVE
,,CURLEW,DR,ACTIVE
,,CURAHEE,DR,ACTIVE
,,CUPID,DR,ACTIVE
,,CUMULUS,DR,ACTIVE
,,CULTS,DR,ACTIVE
,,CULBERSON,DR,ACTIVE
,,CUEVA,DR,ACTIVE
,,CRYSTALBROOK,DR,ACTIVE
,,CRYSTAL WATER,DR,ACTIVE
,,CRYSTAL SHORE,DR,ACTIVE
,,CRYSTAL MOUNTAIN,DR,ACTIVE
,,CRYSTAL HILLS,DR,ACTIVE
,,DELWOOD,DR,ACTIVE
,,DELTA POST,DR,ACTIVE
,,DELTA,DR,ACTIVE
,,DELSIE,DR,ACTIVE
,,DELMONICO,DR,ACTIVE
,,DELLREY,DR,ACTIVE
,,DELLA TORRE,DR,ACTIVE
,,DELCREST,DR,ACTIVE
,,DELCOUR,DR,ACTIVE
,,DEIDRA,DR,ACTIVE
,,DEERINGHILL,DR,ACTIVE
,,DEERGROVE,DR,ACTIVE
,,DEERFOOT,DR,ACTIVE
,,DEERFIELD PARK,DR,ACTIVE
,,DEERFIELD,DR,ACTIVE
,,DEEPWOODS,DR,ACTIVE
,,DEEPWOOD,DR,ACTIVE
,,DEEDE,DR,ACTIVE
,,DEE,DR,ACTIVE
,,DECKHOUSE,DR,ACTIVE
,,DECKER PRAIRIE,DR,ACTIVE
,,DECKER CREEK,DR,ACTIVE
,,DEBORAH,DR,ACTIVE
,,DEBCOE,DR,ACTIVE
,,DEBBIE,DR,ACTIVE
,,DEBBA,DR,ACTIVE
,,DEBBA,DR,ACTIVE
,,DEBARR,DR,ACTIVE
,,DEATONHILL,DR,ACTIVE
,,DEARBONNE,DR,ACTIVE
,,DEADWOOD,DR,ACTIVE
,,DAYTONA,DR,ACTIVE
,,DAWSON CREEK,DR,ACTIVE
,,DAWN,DR,ACTIVE
,,DAWN,DR,ACTIVE
,,DAWLISH,DR,ACTIVE
,,DAVY,DR,ACTIVE
,,DAVIOT,DR,ACTIVE
,,DAVID MOORE,DR,ACTIVE
,,DAVID CURRY,DR,ACTIVE
,,DAVE,DR,ACTIVE
,,DAVE,DR,ACTIVE
,,DAUPHINE,DR,ACTIVE
,,DASHWOOD CREEK,DR,ACTIVE
,,DASHER,DR,ACTIVE
,,DARTMOOR,DR,ACTIVE
,,DARRYL,DR,ACTIVE
,,DAROLD,DR,ACTIVE
,,DARNELL,DR,ACTIVE
,,DARNELL,DR,ACTIVE
,,DARLEY ARABIAN,DR,ACTIVE
,,DARLESS,DR,ACTIVE
,,DARKWOODS,DR,ACTIVE
,,DARJEELING,DR,ACTIVE
,,DANWOOD,DR,ACTIVE
,,DANVILLE,DR,ACTIVE
,,DANVILLE,DR,ACTIVE
,,DANSWORTH,DR,ACTIVE
,,DANNY,DR,ACTIVE
,,DANIEL BOONE,DR,ACTIVE
,,DANIEL,DR,ACTIVE
,,DANDRIDGE,DR,ACTIVE
,,DAMITA JO,DR,ACTIVE
,,DALY,DR,ACTIVE
,,DALMAHOY,DR,ACTIVE
,,DALLUM,DR,ACTIVE
,,DALLAS,DR,ACTIVE
,,DALLAS,DR,ACTIVE
,,DALEWOOD,DR,ACTIVE
,,DALEVIEW,DR,ACTIVE
,,DALE,DR,ACTIVE
,,DAISY,DR,ACTIVE
,,DUNSMERE,DR,ACTIVE
,,DUNLIN,DR,ACTIVE
,,DUNLIEGH,DR,ACTIVE
,,DUNKIRK,DR,ACTIVE
,,DUNKELD,DR,ACTIVE
,,DUNES,DR,ACTIVE
,,DUNDEE,DR,ACTIVE
,,DUNCAN,DR,ACTIVE
,,DUNBURY,DR,ACTIVE
,,DUNBARTON,DR,ACTIVE
,,DUN,DR,ACTIVE
,,DULCET,DR,ACTIVE
,,DULAC,DR,ACTIVE
,,DUGAN,DR,ACTIVE
,,DUDMAR,DR,ACTIVE
,,DUDLEY,DR,ACTIVE
,,DUCHESS,DR,ACTIVE
,,DUBLIN,DR,ACTIVE
,,DUBLIN,DR,ACTIVE
,,DUB,DR,ACTIVE
,,DRYFIELD,DR,ACTIVE
,,DRUSILLAS,DR,ACTIVE
,,DRUSILLAS,DR,ACTIVE
,,DRUMMOND,DR,ACTIVE
,,DROSSETT,DR,ACTIVE
,,DRINGENBERG,DR,ACTIVE
,,DRIFTWOOD,DR,ACTIVE
,,DRIFTING LEAF,DR,ACTIVE
,,DRIFT,DR,ACTIVE
,,DREXEL,DR,ACTIVE
,,DRAYTON,DR,ACTIVE
,,DRAKE ELM,DR,ACTIVE
,,DRAGON,DR,ACTIVE
,,DRAGLINE,DR,ACTIVE
,,DOYAL,DR,ACTIVE
,,DOWNS,DR,ACTIVE
,,DOWNRIDGE,DR,ACTIVE
,,DOVEWOOD,DR,ACTIVE
,,DOVER HILL,DR,ACTIVE
,,DOVEMEADOW,DR,ACTIVE
,,DOVEHILL,DR,ACTIVE
,,DOVE,DR,ACTIVE
,,DOVE,DR,ACTIVE
,,DOUBLE ELM,DR,ACTIVE
,,DOUBLE EAGLE,DR,ACTIVE
,,DOUBLE EAGLE,DR,ACTIVE
,,DOUBLE EAGLE,DR,ACTIVE
,,DOUBLE CREEK,DR,ACTIVE
,,DOUBLE CREEK,DR,ACTIVE
,,DOUBLE CANYON,DR,ACTIVE
,,DOT,DR,ACTIVE
,,DOSSHILLS,DR,ACTIVE
,,DORSET,DR,ACTIVE
,,DOROTHY,DR,ACTIVE
,,DORNACH,DR,ACTIVE
,,DORIS,DR,ACTIVE
,,DORIA,DR,ACTIVE
,,DORCHESTER,DR,ACTIVE
,,DORAS,DR,ACTIVE
,,DORAL,DR,ACTIVE
,,DOONESBURY,DR,ACTIVE
,,DOOLIN,DR,ACTIVE
,,DONNELL,DR,ACTIVE
,,DONNA GAIL,DR,ACTIVE
,,DONLEY,DR,ACTIVE
,,DONINGTON,DR,ACTIVE
,,DONCASTER,DR,ACTIVE
,,DONALD,DR,ACTIVE
,,DOMINIQUE,DR,ACTIVE
,,DOMINIC,DR,ACTIVE
,,DOLPHIN,DR,ACTIVE
,,COMMANDERS POINT,DR,ACTIVE
,,COMBURG,DR,ACTIVE
,,COMANCHE CREEK,DR,ACTIVE
,,COMANCHE,DR,ACTIVE
