Item Number,Product Name,CityStore Exclusive,Unit Price,Color,Size,Style,Category Name,Description
19016,NYPD Dog Toy,No,15.00,,,,NYPD . FDNY . DSNY,"NYPD Dog toy made for dogs.  The plush body is detail with an NYPD patch and 8 inches with ball.  Squeaks for extra fun!  Material content 49% polyester, 49% rubber and 2% plastic."
23195,Crossword Puzzle Focus Cloth,No,5.00,,,,Stationery,"Soft microfiber Focus&trade; cloths provide a stylish way to safely clean smudges from glasses, sunglasses, smartphones and other portable devices. Each comes in a reusable plastic pouch."
23195,Crossword Puzzle Focus Cloth,No,5.00,,,,Home Accents,"Soft microfiber Focus&trade; cloths provide a stylish way to safely clean smudges from glasses, sunglasses, smartphones and other portable devices. Each comes in a reusable plastic pouch."
23195,Crossword Puzzle Focus Cloth,No,5.00,,,,Accessories,"Soft microfiber Focus&trade; cloths provide a stylish way to safely clean smudges from glasses, sunglasses, smartphones and other portable devices. Each comes in a reusable plastic pouch."
23195,Crossword Puzzle Focus Cloth,No,5.00,,,,Reusable,"Soft microfiber Focus&trade; cloths provide a stylish way to safely clean smudges from glasses, sunglasses, smartphones and other portable devices. Each comes in a reusable plastic pouch."
23200,Pizza Focus Cloth,No,5.00,,,,Stationery,"Normally, cleaning your smartphone or glasses with pizza would end in a greasy mess until now. These circular soft microfiber cloths provide an entertaining way to safely clean smudges from glasses, sunglasses, computer screens, smartphones and other portable devices. Great for traveling and everyday use, keep a few in your purse or glasses case for added convenience."
23200,Pizza Focus Cloth,No,5.00,,,,Home Accents,"Normally, cleaning your smartphone or glasses with pizza would end in a greasy mess until now. These circular soft microfiber cloths provide an entertaining way to safely clean smudges from glasses, sunglasses, computer screens, smartphones and other portable devices. Great for traveling and everyday use, keep a few in your purse or glasses case for added convenience."
23200,Pizza Focus Cloth,No,5.00,,,,Accessories,"Normally, cleaning your smartphone or glasses with pizza would end in a greasy mess until now. These circular soft microfiber cloths provide an entertaining way to safely clean smudges from glasses, sunglasses, computer screens, smartphones and other portable devices. Great for traveling and everyday use, keep a few in your purse or glasses case for added convenience."
23200,Pizza Focus Cloth,No,5.00,,,,Reusable,"Normally, cleaning your smartphone or glasses with pizza would end in a greasy mess until now. These circular soft microfiber cloths provide an entertaining way to safely clean smudges from glasses, sunglasses, computer screens, smartphones and other portable devices. Great for traveling and everyday use, keep a few in your purse or glasses case for added convenience."
20045,Queens Hot Sauce,No,8.00,,,,NY Food,"Queens 7 Hot Sauce is made from jalapeno peppers grown in community gardens throughout Queens. Each bottle of Queens 7 Hot Sauce directly supports the gardens and gardeners who grow this delicious product. Queens 7 Hot Sauce captures many of the vibrant flavors of Queen  ethnic neighborhoods in just one bottle.  This mild hot sauce is tomato-forward, with a lingering jalape&ntilde;o heat. The fish sauce gives this hot sauce a depth of umami flavor not found in many other hot sauces!"
20046,Habanero Mango Hot Sauce,No,8.00,,,,NY Food,"Small Axe Peppers Habanero Mango Hot Sauce is made with peppers are sourced from community gardens and urban farms in cities across the United States. San Diego, Tucson, Phoenix, Salt Lake City, Sacramento, Charlottesville, and many more have all sold peppers at premium prices to Small Axe Peppers Hot Sauce.  Made with mangoes and tamarind paste, this fruity Southeast Asian hot sauce has the consistency of a chutney and the sweetness of a delicious Thai curry. Pairs perfectly with eggs, stir fry, and any soups for a punch of heat and soothing sweetness!"
20047,Assorted Spreads,No,8.00,,,Apple Butter,NY Food,"Assorted Jams, 9ounce jar in the following flavors:         Apple Butter   This is a highly concentrated form of apple sauce. It  made by long, slow cooking of apples till caramelized. It  spreadable and so good on crackers, fruit or right out of the jar with a spoon.         Cherry Jalape&ntilde;o Jam   Cherries & jalape&ntilde;os blended into a jam. So unique & delicious. Not too spicy, not too sweet, this one  just right.          Jalape&ntilde;o Jam - Smooth, spreadable jalape&ntilde;o jam for those who like it HOT. Great on sandwiches or as a dip.         Peppery Peach Jam   Peaches. Jalape&ntilde;os blended just right to create the perfect sweet & spice."
20047,Assorted Spreads,No,8.00,,,Jalapeno Jam,NY Food,"Assorted Jams, 9ounce jar in the following flavors:         Apple Butter   This is a highly concentrated form of apple sauce. It  made by long, slow cooking of apples till caramelized. It  spreadable and so good on crackers, fruit or right out of the jar with a spoon.         Cherry Jalape&ntilde;o Jam   Cherries & jalape&ntilde;os blended into a jam. So unique & delicious. Not too spicy, not too sweet, this one  just right.          Jalape&ntilde;o Jam - Smooth, spreadable jalape&ntilde;o jam for those who like it HOT. Great on sandwiches or as a dip.         Peppery Peach Jam   Peaches. Jalape&ntilde;os blended just right to create the perfect sweet & spice."
20047,Assorted Spreads,No,8.00,,,Peppery Peach Jam,NY Food,"Assorted Jams, 9ounce jar in the following flavors:         Apple Butter   This is a highly concentrated form of apple sauce. It  made by long, slow cooking of apples till caramelized. It  spreadable and so good on crackers, fruit or right out of the jar with a spoon.         Cherry Jalape&ntilde;o Jam   Cherries & jalape&ntilde;os blended into a jam. So unique & delicious. Not too spicy, not too sweet, this one  just right.          Jalape&ntilde;o Jam - Smooth, spreadable jalape&ntilde;o jam for those who like it HOT. Great on sandwiches or as a dip.         Peppery Peach Jam   Peaches. Jalape&ntilde;os blended just right to create the perfect sweet & spice."
21192,Holding Heart Magnet,No,5.00,,,,NY Magnets,"Men holding heart magnet, a painting by Keith Haring.    Dimensions: 3   x 2   inches."
22142,Chrysler Pendant w necklace,No,50.00,,,,Jewelry,"Inspired by the beautiful Chrysler Building in NYC, our Chrysler Necklace has all of the details of this art deco masterpiece and is the perfect travel souvenir and gift for the woman who wants to add wanderlust jewelry to her collection.  Engraved details of the Chrysler Building, 18K Gold plated, 3-1/8  long pendant & 24  Stainless steel ball chain."
09744,Good Night Statue of Liberty,No,10.00,,,,City Kids,"No monument represents the United States more proudly than the Statue of Liberty. Young readers are treated to an unforgettable tour of this historic icon that includes ferryboats, Liberty Island, touring the statue and museum, magnificent views, park rangers, Ellis Island Immigration Museum, the pedestal, the torch, the crown, gift shops, and so much more."
09746,Yankee Mad libs,No,5.00,,,,Sports and Trivia,"Mo, Mick, The Skipper, Mr. October... The New York Yankees have a long and storied history, and what better way to honor the most successful team in Major League Baseball than with their very own Mad Libs."
09745,Good Night Broadway,No,10.00,,,,City Kids,"Good Night Broadway highlights theaters, musicals, dancers, plays, actors and actresses, writers and directors, costumes, scripts, rehearsals, playbills, stagehands, and so much more. This adorable board book captivates young audiences as they tour one of the country s most electric and exciting destinations. In these colorful pages, readers receive a front-row ticket to the best of what Broadway has to offer."
03262,Yellow School Bus,No,24.00,,,,25 for under $25,"1:53 SCALE Die-cast School Bus. Dimensions: 8  x 2  wide. working doors and stop sign.    Metal with plastic parts.  Not recommended for children under 3 years, contains small parts."
