the_geom,OBJECTID,CELL_TOWER_ID,CREATED_DATE,CREATED_BY,MODIFIED_DATE,MODIFIED_BY,FOLDERRSN,CASE_NUMBER,CELL_TOWER_LOCATION,CELL_TOWER_HEIGHT
POINT (-97.782038782456 30.228641578373),226,229,,,,,,,1414 FORT VIEW RD,80
POINT (-97.710583652152 30.350904297932),235,238,,,,,,SPX 4/23/96,8130 N LAMAR BLVD,80
POINT (-97.704648337455 30.284488674636),338,338,,,,,,SPX-06-0383,2039 1/2 AIRPORT BLVD,80
POINT (-97.805058217173 30.143017430426),41,174,,,,,,,11209 CONROY LN,120
POINT (-97.729044897629 30.433272269391),343,343,,,,,,,5250 W PARMER LANE,100
POINT (-97.731604551381 30.284808093054),15,532,,,,,,,405 E 23RD ST,0
POINT (-97.758019293349 30.310502388047),85,441,,,,,,,2400 W 35TH ST,0
POINT (-97.81555360235 30.461773317949),501,390,,,,,,SP-05-1496CS,12233 1/2 N FM 620 RD,100
POINT (-97.79772691785 30.128899227786),213,216,,,,,,,11819 S IH 35 SVRD NB,150
POINT (-97.934813254113 30.475475736146),425,187,,,,,,AU01403A,8904 GRANDVIEW DR,0
POINT (-97.806063824807 30.373669986355),69,425,,,,,,SPX-06-0234,6501 1/2 VAUGHT RANCH RD,149
POINT (-97.746713551999 30.387599808914),485,373,,,,,,SPX 08/26/97 & 01/17/02,9508 JOLLYVILLE RD,100
POINT (-97.970434648525 30.213233091955),223,226,,,,,,,12000 W US 290 HWY,250
POINT (-97.693748595585 30.474259404293),104,460,,,,,,SPX 7/29/96&2/13/01,3115 CR 172,150
POINT (-97.729220072124 30.263652174718),448,124,,,,,,,1305 E 6TH ST,0
POINT (-97.698311699114 30.261807192589),24,541,,,,,,SPX 2/5/98,916 SPRINGDALE RD,100
POINT (-97.744032966562 30.407273068209),252,255,,,,,,SPX-03-0515,11149 RESEARCH BLVD NB,0
POINT (-97.736628870956 30.214812057144),197,41,,,,,,SPX 9/8/99,2525 E BEN WHITE BLVD SVRD EB,100
POINT (-97.834887990032 30.450800841264),292,295,,,,,,,12164 1/2 WINDY RIDGE RD,130
POINT (-97.782759087593 30.375797462806),45,403,,,,,,,7600 N CAPITAL OF TEXAS HWY WB,0
POINT (-97.648152445046 30.145895135013),240,243,,,,,,SP-06-0247DS,12010 1/2 MC ANGUS RD,195
POINT (-97.751610392498 30.395911526534),322,322,,,,,,SP-00-2324CS,10114 1/2 JOLLYVILLE RD,59
POINT (-97.763210327225 30.434600598866),515,468,,,,,,,12204 JEKEL CIR,0
POINT (-97.765736654542 30.287561594327),371,111,,,,,,,1506 FOREST TRL,0
POINT (-97.751728366123 30.213033746324),436,197,,,,,,,1701 DIRECTORS BLVD,0
POINT (-97.660410036966 30.391842903518),184,21,,,,,,SP-01-0363CS,1006 1/2 E YAGER LN,100
POINT (-97.758759583692 30.371227700823),451,83,,,,,,SP-06-0459CS,8034 1/2 MESA DR,120
POINT (-97.708620151179 30.322898773566),29,163,,,,,,SPX 8/6/96,6010 N IH 35 SVRD SB,100
POINT (-97.698587736693 30.13147485891),162,517,,,,,,SPX 12/16/98,8520 S US 183 HWY,250
POINT (-97.70801863579 30.409132050188),381,132,,,,,,,2511 PARK BEND DR,0
POINT (-97.691143819022 30.435420782565),283,286,,,,,,C14P-85-006,2504 1/2 GARDENIA DR,190
POINT (-97.663349103798 30.324491363097),190,27,,,,,,SPX-06-0326 & SPX 9/17/98,3208 DUKE RD,150
POINT (-97.893474370218 30.367571093184),458,89,,,,,,,2801 N QUINLAN PARK RD,0
