Reporting Area,MMWR Year,MMWR Week,"Hemolytic uremic snydrome post-diarrheal, Current week","Hemolytic uremic snydrome post-diarrheal, Current week, flag","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†","Hemolytic uremic snydrome post-diarrheal, Previous 52 weeks Max†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2020†","Hemolytic uremic snydrome post-diarrheal, Cum 2020†, flag","Hemolytic uremic snydrome post-diarrheal, Cum 2019†","Hemolytic uremic snydrome post-diarrheal, Cum 2019†, flag","Hepatitis A, acute, Current week","Hepatitis A, acute, Current week, flag","Hepatitis A, acute, Previous 52 weeks Max†","Hepatitis A, acute, Previous 52 weeks Max†, flag","Hepatitis A, acute, Cum 2020†","Hepatitis A, acute, Cum 2020†, flag","Hepatitis A, acute, Cum 2019†","Hepatitis A, acute, Cum 2019†, flag","Hepatitis B, acute, Current week","Hepatitis B, acute, Current week, flag","Hepatitis B, acute, Previous 52 weeks Max†","Hepatitis B, acute, Previous 52 weeks Max†, flag","Hepatitis B, acute, Cum 2020†","Hepatitis B, acute, Cum 2020†, flag","Hepatitis B, acute, Cum 2019†","Hepatitis B, acute, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
GEORGIA,2020,9,,-,2,,1,,,-,12,,30,,105,,80,,1,,5,,6,,21,,GEORGIA,,20200932,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,9,,-,1,,,-,,-,,-,5,,13,,16,,,-,4,,9,,8,,,NEW YORK CITY,20200912,
ARKANSAS,2020,9,,-,2,,,-,1,,5,,9,,25,,42,,,-,5,,8,,2,,ARKANSAS,,20200944,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,9,,-,0,,,-,,-,,-,9,,50,,2,,,-,4,,5,,6,,MISSISSIPPI,,20200941,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,9,,-,2,,,-,,-,,-,1,,1,,1,,,-,1,,,-,1,,SOUTH DAKOTA,,20200927,POINT (-100.230491 44.43614)
WYOMING,2020,9,,-,0,,,-,,-,,-,3,,1,,1,,,-,1,,,-,3,,WYOMING,,20200956,POINT (-107.55145 42.999627)
MISSOURI,2020,9,,-,2,,,-,,-,,-,16,,38,,26,,,-,4,,2,,5,,MISSOURI,,20200924,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,9,,-,4,,1,,,-,7,,76,,145,,128,,1,,11,,17,,40,,,MIDDLE ATLANTIC,20200909,
CALIFORNIA,2020,9,,-,3,,,-,1,,,-,15,,63,,45,,,-,4,,4,,20,,CALIFORNIA,,20200959,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,9,,-,1,,,-,,-,,-,21,,9,,193,,,-,3,,3,,10,,WEST VIRGINIA,,20200937,POINT (-80.613729 38.642579)
FLORIDA,2020,9,1,,1,,1,,1,,43,,99,,192,,449,,,-,23,,13,,98,,FLORIDA,,20200931,POINT (-82.420978 28.260731)
MONTANA,2020,9,,-,0,,,-,,-,,-,4,,3,,1,,,-,1,,,-,,-,MONTANA,,20200952,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,9,,-,4,,,-,3,,1,,21,,63,,38,,,-,5,,5,,18,,,WEST NORTH CENTRAL,20200920,
MASSACHUSETTS,2020,9,,-,0,,,-,,-,,-,9,,8,,84,,,-,2,,6,,9,,MASSACHUSETTS,,20200905,POINT (-71.481104 42.151077)
MOUNTAIN,2020,9,,-,3,,1,,1,,1,,46,,54,,187,,,-,6,,5,,24,,,MOUNTAIN,20200948,
INDIANA,2020,9,,-,0,,,-,,-,,-,71,,36,,295,,,-,10,,,-,25,,INDIANA,,20200916,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,9,,-,0,,,-,,-,,-,3,,1,,14,,,-,1,,1,,,-,,NON-US RESIDENTS,20200969,
US TERRITORIES,2020,9,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20200963,
TOTAL,2020,10,1,,13,,9,,17,,80,,468,,1596,,3766,,2,,101,,254,,580,,,TOTAL,20201070,
US RESIDENTS,2020,10,1,,13,,9,,17,,80,,468,,1595,,3752,,2,,101,,253,,580,,,US RESIDENTS,20201001,
NEW HAMPSHIRE,2020,10,,-,1,,,-,,-,,-,14,,14,,49,,,-,1,,,-,,-,NEW HAMPSHIRE,,20201006,POINT (-71.57139 43.680429)
NEW YORK,2020,10,,-,2,,,-,,-,4,,14,,43,,23,,,-,4,,3,,11,,NEW YORK,,20201011,POINT (-75.59655 42.921241)
PACIFIC,2020,10,,-,3,,,-,3,,,-,32,,154,,61,,,-,5,,15,,33,,,PACIFIC,20201057,
WEST SOUTH CENTRAL,2020,10,,-,7,,1,,3,,7,,44,,123,,102,,,-,10,,27,,20,,,WEST SOUTH CENTRAL,20201043,
NEBRASKA,2020,10,,-,1,,,-,,-,,-,3,,2,,,-,,-,1,,,-,,-,NEBRASKA,,20201025,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,10,1,,3,,2,,3,,11,,113,,269,,1046,,,-,20,,71,,111,,,EAST SOUTH CENTRAL,20201038,
NORTH DAKOTA,2020,10,,-,1,,,-,2,,,-,1,,,-,1,,,-,1,,1,,,-,NORTH DAKOTA,,20201026,POINT (-100.46931 47.446305)
NEVADA,2020,10,,-,0,,,-,,-,,-,7,,5,,11,,,-,3,,,-,2,,NEVADA,,20201053,POINT (-114.916992 39.283294)
ILLINOIS,2020,10,,-,1,,,-,1,,,-,8,,15,,45,,,-,3,,4,,3,,ILLINOIS,,20201015,POINT (-89.148632 40.124144)
IOWA,2020,10,,-,2,,,-,,-,,-,2,,3,,1,,,-,3,,2,,5,,IOWA,,20201021,POINT (-93.500061 42.074659)
TEXAS,2020,10,,-,4,,1,,1,,,-,13,,24,,17,,,-,6,,5,,4,,TEXAS,,20201047,POINT (-99.317341 31.447238)
ALASKA,2020,10,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,1,,4,,ALASKA,,20201058,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,10,,-,0,,,-,,-,,-,2,,,-,1,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20201030,POINT (-77.016275 38.904785)
WASHINGTON,2020,10,,N,,NC,,N,,N,,-,17,,85,,8,,,-,3,,2,,5,,WASHINGTON,,20201062,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,10,,-,1,,,-,,-,1,,19,,37,,153,,1,,5,,14,,25,,,NEW ENGLAND,20201002,
RHODE ISLAND,2020,10,,-,0,,,-,,-,,-,2,,2,,3,,,U,,NC,,U,,U,RHODE ISLAND,,20201007,POINT (-71.534637 41.572574)
OREGON,2020,10,,-,2,,,-,1,,,-,2,,4,,4,,,-,2,,5,,2,,OREGON,,20201061,POINT (-120.605279 43.940449)
DELAWARE,2020,10,,-,0,,,-,,-,,-,4,,3,,2,,,-,2,,,-,3,,DELAWARE,,20201029,POINT (-75.452394 38.994926)
ALABAMA,2020,10,,-,2,,,-,1,,5,,17,,87,,23,,,-,4,,4,,18,,ALABAMA,,20201039,POINT (-86.844516 32.756889)
KANSAS,2020,10,,-,1,,,-,1,,,-,2,,,-,2,,,-,1,,,-,5,,KANSAS,,20201022,POINT (-98.38018 38.484729)
NON-US RESIDENTS,2020,18,,-,0,,,-,,-,,-,3,,2,,17,,,-,1,,1,,,-,,NON-US RESIDENTS,20201869,
NORTH CAROLINA,2020,10,,-,1,,,-,1,,,-,10,,30,,22,,,-,11,,12,,39,,NORTH CAROLINA,,20201034,POINT (-79.130883 35.52603)
GUAM,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201066,POINT (144.653198 13.3532)
NEW JERSEY,2020,10,,-,0,,,-,,-,,-,23,,36,,66,,,-,5,,,-,12,,NEW JERSEY,,20201010,POINT (-74.655514 40.110253)
NEW MEXICO,2020,10,,-,1,,,-,,-,,-,8,,2,,37,,,-,1,,,-,2,,NEW MEXICO,,20201054,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,10,,-,4,,,-,1,,8,,145,,129,,1088,,,-,41,,32,,94,,,EAST NORTH CENTRAL,20201014,
TENNESSEE,2020,10,1,,2,,2,,1,,6,,83,,118,,343,,,-,9,,27,,42,,TENNESSEE,,20201042,POINT (-86.343226 35.842998)
CONNECTICUT,2020,10,,-,1,,,-,,-,,-,3,,5,,6,,,-,0,,,-,3,,CONNECTICUT,,20201003,POINT (-72.738288 41.575155)
MARYLAND,2020,10,,-,1,,2,,,-,2,,7,,43,,17,,,-,3,,8,,2,,MARYLAND,,20201033,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,10,,-,0,,,-,,-,14,,31,,112,,21,,,-,4,,12,,7,,SOUTH CAROLINA,,20201035,POINT (-80.864614 33.878572)
OKLAHOMA,2020,10,,-,3,,,-,,-,2,,5,,2,,,-,,-,5,,1,,,-,OKLAHOMA,,20201046,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201065,POINT (145.725693 15.1834)
OHIO,2020,10,,-,1,,,-,,-,6,,68,,73,,694,,,-,29,,24,,47,,OHIO,,20201018,POINT (-82.70936 40.415534)
MINNESOTA,2020,10,,-,0,,,-,,-,1,,6,,22,,7,,,-,2,,,-,2,,MINNESOTA,,20201023,POINT (-94.198308 46.349153)
LOUISIANA,2020,10,,-,1,,,-,1,,4,,39,,69,,39,,,-,4,,11,,11,,LOUISIANA,,20201045,POINT (-91.840238 30.921314)
HAWAII,2020,10,,-,0,,,-,,-,,-,0,,,-,1,,,-,1,,3,,,-,HAWAII,,20201060,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,10,,-,4,,4,,2,,34,,151,,575,,901,,,-,37,,63,,211,,,SOUTH ATLANTIC,20201028,
PENNSYLVANIA,2020,10,,-,4,,1,,,-,4,,43,,62,,41,,,-,6,,7,,12,,PENNSYLVANIA,,20201013,POINT (-77.838886 40.896694)
UTAH,2020,10,,-,2,,,-,1,,,-,2,,1,,6,,,-,3,,,-,5,,UTAH,,20201055,POINT (-111.678222 39.323779)
COLORADO,2020,10,,-,3,,,-,,-,,-,18,,29,,20,,,-,1,,1,,5,,COLORADO,,20201050,POINT (-105.547832 38.998552)
VERMONT,2020,10,,-,0,,,-,,-,,-,1,,,-,3,,,-,1,,,-,1,,VERMONT,,20201008,POINT (-72.662695 44.075252)
KENTUCKY,2020,10,,-,2,,,-,1,,,-,48,,14,,678,,,-,11,,35,,45,,KENTUCKY,,20201040,POINT (-85.290484 37.526683)
PUERTO RICO,2020,10,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201067,POINT (-66.414655 18.215692)
MAINE,2020,10,,-,1,,,-,,-,1,,6,,8,,2,,1,,4,,8,,12,,MAINE,,20201004,POINT (-69.06137 45.117911)
VIRGINIA,2020,10,,-,2,,,-,,-,11,,16,,57,,29,,,-,5,,4,,5,,VIRGINIA,,20201036,POINT (-78.666382 37.510861)
ARIZONA,2020,10,,-,2,,1,,1,,1,,30,,22,,125,,,-,2,,5,,6,,ARIZONA,,20201049,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,10,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201064,
WISCONSIN,2020,10,,-,2,,,-,,-,,-,4,,,-,,-,,-,2,,,-,3,,WISCONSIN,,20201019,POINT (-89.732969 44.639954)
IDAHO,2020,10,,-,1,,,-,,-,,-,8,,,-,11,,,-,1,,,-,2,,IDAHO,,20201051,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201068,POINT (-64.840836 18.060868)
MICHIGAN,2020,10,,-,2,,,-,,-,,-,4,,3,,18,,,-,3,,3,,11,,MICHIGAN,,20201017,POINT (-85.730977 44.874798)
GEORGIA,2020,10,,-,2,,1,,,-,3,,30,,109,,94,,,-,5,,6,,23,,GEORGIA,,20201032,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,10,,-,1,,,-,,-,,-,5,,13,,17,,1,,4,,10,,8,,,NEW YORK CITY,20201012,
ARKANSAS,2020,10,,-,2,,,-,1,,1,,9,,28,,46,,,-,5,,10,,5,,ARKANSAS,,20201044,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,10,,-,0,,,-,,-,,-,9,,50,,2,,,-,4,,5,,6,,MISSISSIPPI,,20201041,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,10,,-,2,,,-,,-,,-,1,,1,,1,,,-,1,,,-,1,,SOUTH DAKOTA,,20201027,POINT (-100.230491 44.43614)
WYOMING,2020,10,,-,0,,,-,,-,,-,3,,1,,1,,,-,0,,,-,3,,WYOMING,,20201056,POINT (-107.55145 42.999627)
MISSOURI,2020,10,,-,2,,,-,,-,9,,16,,63,,30,,,-,4,,2,,5,,MISSOURI,,20201024,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,10,,-,4,,1,,,-,8,,76,,154,,147,,1,,10,,20,,43,,,MIDDLE ATLANTIC,20201009,
CALIFORNIA,2020,10,,-,3,,,-,2,,,-,15,,65,,48,,,-,4,,4,,22,,CALIFORNIA,,20201059,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,10,,-,1,,,-,,-,,-,19,,25,,201,,,-,3,,8,,12,,WEST VIRGINIA,,20201037,POINT (-80.613729 38.642579)
FLORIDA,2020,10,,-,1,,1,,1,,4,,99,,196,,514,,,-,23,,13,,120,,FLORIDA,,20201031,POINT (-82.420978 28.260731)
MONTANA,2020,10,,-,0,,,-,,-,,-,4,,3,,1,,,-,1,,,-,,-,MONTANA,,20201052,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,10,,-,4,,,-,3,,10,,21,,91,,42,,,-,5,,5,,18,,,WEST NORTH CENTRAL,20201020,
MASSACHUSETTS,2020,10,,-,0,,,-,,-,,-,9,,8,,90,,,-,2,,6,,9,,MASSACHUSETTS,,20201005,POINT (-71.481104 42.151077)
MOUNTAIN,2020,10,,-,3,,1,,2,,1,,46,,63,,212,,,-,6,,6,,25,,,MOUNTAIN,20201048,
INDIANA,2020,10,,-,0,,,-,,-,2,,71,,38,,331,,,-,10,,1,,30,,INDIANA,,20201016,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,10,,-,0,,,-,,-,,-,3,,1,,14,,,-,1,,1,,,-,,NON-US RESIDENTS,20201069,
US TERRITORIES,2020,10,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201063,
TOTAL,2020,11,1,,13,,10,,18,,74,,468,,1759,,4154,,13,,101,,315,,654,,,TOTAL,20201170,
US RESIDENTS,2020,11,1,,13,,10,,18,,74,,468,,1758,,4139,,13,,101,,314,,654,,,US RESIDENTS,20201101,
NEW HAMPSHIRE,2020,11,,-,1,,,-,,-,,-,14,,14,,59,,,-,1,,,-,,-,NEW HAMPSHIRE,,20201106,POINT (-71.57139 43.680429)
NEW YORK,2020,11,,-,2,,,-,,-,2,,14,,45,,28,,,-,4,,3,,13,,NEW YORK,,20201111,POINT (-75.59655 42.921241)
PACIFIC,2020,11,,-,3,,,-,3,,1,,32,,160,,67,,1,,5,,15,,36,,,PACIFIC,20201157,
WEST SOUTH CENTRAL,2020,11,,-,7,,1,,3,,,-,44,,126,,118,,,-,10,,28,,22,,,WEST SOUTH CENTRAL,20201143,
NEBRASKA,2020,11,,-,1,,,-,,-,,-,3,,3,,,-,,-,1,,,-,,-,NEBRASKA,,20201125,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,11,,-,3,,2,,3,,12,,113,,322,,1138,,4,,17,,83,,123,,,EAST SOUTH CENTRAL,20201138,
NORTH DAKOTA,2020,11,,-,1,,,-,2,,,-,1,,,-,1,,,-,1,,1,,,-,NORTH DAKOTA,,20201126,POINT (-100.46931 47.446305)
NEVADA,2020,11,,-,0,,,-,,-,,-,7,,5,,14,,,-,3,,,-,5,,NEVADA,,20201153,POINT (-114.916992 39.283294)
ILLINOIS,2020,11,,-,1,,,-,1,,,-,8,,17,,47,,,-,3,,4,,3,,ILLINOIS,,20201115,POINT (-89.148632 40.124144)
IOWA,2020,11,,-,2,,,-,,-,,-,2,,3,,2,,,-,3,,2,,5,,IOWA,,20201121,POINT (-93.500061 42.074659)
TEXAS,2020,11,,-,4,,1,,1,,,-,13,,27,,25,,,-,6,,6,,4,,TEXAS,,20201147,POINT (-99.317341 31.447238)
ALASKA,2020,11,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,1,,4,,ALASKA,,20201158,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,11,,-,0,,,-,,-,,-,2,,,-,2,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20201130,POINT (-77.016275 38.904785)
WASHINGTON,2020,11,,N,,NC,,N,,N,1,,17,,90,,9,,,-,3,,2,,5,,WASHINGTON,,20201162,POINT (-120.592492 47.411715)
NEW ENGLAND,2020,11,,-,1,,,-,,-,1,,19,,38,,167,,1,,5,,15,,29,,,NEW ENGLAND,20201102,
RHODE ISLAND,2020,11,,-,0,,,-,,-,,-,2,,2,,3,,,U,,NC,,U,,U,RHODE ISLAND,,20201107,POINT (-71.534637 41.572574)
OREGON,2020,11,,-,2,,,-,1,,,-,2,,4,,4,,1,,2,,5,,3,,OREGON,,20201161,POINT (-120.605279 43.940449)
DELAWARE,2020,11,,-,0,,,-,,-,,-,4,,5,,2,,,-,2,,1,,5,,DELAWARE,,20201129,POINT (-75.452394 38.994926)
ALABAMA,2020,11,,-,2,,,-,1,,2,,20,,111,,28,,1,,4,,6,,19,,ALABAMA,,20201139,POINT (-86.844516 32.756889)
KANSAS,2020,11,,-,1,,,-,1,,,-,2,,,-,2,,,-,1,,,-,5,,KANSAS,,20201122,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,11,,-,1,,,-,1,,,-,10,,30,,25,,,-,11,,12,,50,,NORTH CAROLINA,,20201134,POINT (-79.130883 35.52603)
GUAM,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20201166,POINT (144.653198 13.3532)
NEW JERSEY,2020,11,,-,0,,,-,,-,,-,23,,36,,83,,,-,5,,,-,13,,NEW JERSEY,,20201110,POINT (-74.655514 40.110253)
NEW MEXICO,2020,11,,-,1,,,-,,-,,-,8,,2,,40,,,-,1,,,-,2,,NEW MEXICO,,20201154,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,11,,-,4,,,-,2,,9,,145,,140,,1183,,3,,41,,35,,108,,,EAST NORTH CENTRAL,20201114,
TENNESSEE,2020,11,,-,2,,2,,1,,10,,83,,132,,383,,1,,9,,32,,47,,TENNESSEE,,20201142,POINT (-86.343226 35.842998)
CONNECTICUT,2020,11,,-,1,,,-,,-,,-,3,,5,,6,,,-,0,,,-,3,,CONNECTICUT,,20201103,POINT (-72.738288 41.575155)
MARYLAND,2020,11,,-,1,,2,,,-,2,,7,,45,,20,,,-,3,,8,,2,,MARYLAND,,20201133,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,11,,-,0,,,-,,-,7,,32,,120,,26,,,-,4,,13,,8,,SOUTH CAROLINA,,20201135,POINT (-80.864614 33.878572)
OKLAHOMA,2020,11,,-,3,,,-,,-,,-,5,,2,,,-,,-,5,,1,,,-,OKLAHOMA,,20201146,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20201165,POINT (145.725693 15.1834)
OHIO,2020,11,,-,1,,,-,1,,9,,68,,82,,754,,3,,29,,27,,57,,OHIO,,20201118,POINT (-82.70936 40.415534)
MINNESOTA,2020,11,,-,0,,,-,,-,1,,6,,24,,7,,,-,2,,,-,2,,MINNESOTA,,20201123,POINT (-94.198308 46.349153)
LOUISIANA,2020,11,,-,1,,,-,1,,,-,39,,69,,43,,,-,4,,11,,12,,LOUISIANA,,20201145,POINT (-91.840238 30.921314)
HAWAII,2020,11,,-,0,,,-,,-,,-,0,,,-,1,,,-,1,,3,,,-,HAWAII,,20201160,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,11,1,,4,,5,,2,,40,,151,,647,,1009,,,-,37,,101,,242,,,SOUTH ATLANTIC,20201128,
PENNSYLVANIA,2020,11,,-,4,,1,,,-,1,,43,,63,,44,,,-,6,,9,,13,,PENNSYLVANIA,,20201113,POINT (-77.838886 40.896694)
UTAH,2020,11,,-,2,,,-,1,,,-,2,,2,,6,,,-,3,,,-,5,,UTAH,,20201155,POINT (-111.678222 39.323779)
COLORADO,2020,11,,-,3,,,-,,-,1,,18,,33,,24,,,-,1,,1,,5,,COLORADO,,20201150,POINT (-105.547832 38.998552)
VERMONT,2020,11,,-,0,,,-,,-,,-,1,,,-,3,,,-,1,,,-,1,,VERMONT,,20201108,POINT (-72.662695 44.075252)
KENTUCKY,2020,11,,-,2,,,-,1,,,-,48,,14,,724,,,-,7,,35,,50,,KENTUCKY,,20201140,POINT (-85.290484 37.526683)
PUERTO RICO,2020,11,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,PUERTO RICO,,20201167,POINT (-66.414655 18.215692)
MAINE,2020,11,,-,1,,,-,,-,,-,6,,8,,2,,1,,4,,9,,15,,MAINE,,20201104,POINT (-69.06137 45.117911)
VIRGINIA,2020,11,,-,2,,,-,,-,2,,16,,59,,32,,,-,5,,4,,6,,VIRGINIA,,20201136,POINT (-78.666382 37.510861)
ARIZONA,2020,11,,-,2,,1,,1,,1,,30,,23,,137,,1,,2,,6,,6,,ARIZONA,,20201149,POINT (-111.664616 34.293239)
AMERICAN SAMOA,2020,11,,N,,NC,,N,,N,,-,0,,,-,,-,,-,0,,,-,,-,,AMERICAN SAMOA,20201164,
WISCONSIN,2020,11,,-,2,,,-,,-,,-,4,,,-,,-,,-,2,,,-,4,,WISCONSIN,,20201119,POINT (-89.732969 44.639954)
IDAHO,2020,11,,-,1,,,-,,-,3,,8,,3,,12,,,-,1,,,-,2,,IDAHO,,20201151,POINT (-114.659366 44.389073)
U.S. VIRGIN ISLANDS,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,VIRGIN ISLANDS,,20201168,POINT (-64.840836 18.060868)
MICHIGAN,2020,11,,-,2,,,-,,-,,-,4,,3,,19,,,-,3,,3,,14,,MICHIGAN,,20201117,POINT (-85.730977 44.874798)
GEORGIA,2020,11,,-,2,,1,,,-,4,,30,,117,,111,,,-,5,,7,,24,,GEORGIA,,20201132,POINT (-83.426574 32.638481)
NEW YORK CITY,2020,11,,-,1,,,-,,-,2,,5,,15,,19,,3,,4,,13,,8,,,NEW YORK CITY,20201112,
ARKANSAS,2020,11,,-,2,,,-,1,,,-,9,,28,,50,,,-,5,,10,,6,,ARKANSAS,,20201144,POINT (-92.439162 34.899825)
MISSISSIPPI,2020,11,,-,0,,,-,,-,,-,9,,65,,3,,2,,4,,10,,7,,MISSISSIPPI,,20201141,POINT (-89.65344 32.713378)
SOUTH DAKOTA,2020,11,,-,2,,,-,,-,,-,1,,1,,1,,,-,1,,,-,1,,SOUTH DAKOTA,,20201127,POINT (-100.230491 44.43614)
WYOMING,2020,11,,-,0,,,-,,-,,-,3,,1,,1,,,-,0,,,-,3,,WYOMING,,20201156,POINT (-107.55145 42.999627)
MISSOURI,2020,11,,-,2,,,-,,-,,-,16,,63,,35,,,-,4,,2,,6,,MISSOURI,,20201124,POINT (-92.477244 38.3675)
MIDDLE ATLANTIC,2020,11,,-,4,,1,,,-,5,,76,,159,,174,,3,,10,,25,,47,,,MIDDLE ATLANTIC,20201109,
CALIFORNIA,2020,11,,-,3,,,-,2,,,-,15,,66,,53,,,-,4,,4,,24,,CALIFORNIA,,20201159,POINT (-119.662127 37.211164)
WEST VIRGINIA,2020,11,,-,1,,,-,,-,,-,19,,25,,215,,,-,3,,8,,14,,WEST VIRGINIA,,20201137,POINT (-80.613729 38.642579)
FLORIDA,2020,11,1,,1,,2,,1,,25,,99,,246,,576,,,-,23,,48,,133,,FLORIDA,,20201131,POINT (-82.420978 28.260731)
MONTANA,2020,11,,-,0,,,-,,-,,-,4,,3,,1,,,-,1,,,-,,-,MONTANA,,20201152,POINT (-109.645127 47.033521)
WEST NORTH CENTRAL,2020,11,,-,4,,,-,3,,1,,21,,94,,48,,,-,5,,5,,19,,,WEST NORTH CENTRAL,20201120,
MASSACHUSETTS,2020,11,,-,1,,,-,,-,1,,9,,9,,94,,,-,2,,6,,10,,MASSACHUSETTS,,20201105,POINT (-71.481104 42.151077)
MOUNTAIN,2020,11,,-,3,,1,,2,,5,,46,,72,,235,,1,,6,,7,,28,,,MOUNTAIN,20201148,
INDIANA,2020,11,,-,0,,,-,,-,,-,71,,38,,363,,,-,10,,1,,30,,INDIANA,,20201116,POINT (-86.2818 39.919991)
NON-US RESIDENTS,2020,11,,-,0,,,-,,-,,-,3,,1,,15,,,-,1,,1,,,-,,NON-US RESIDENTS,20201169,
US TERRITORIES,2020,11,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,US TERRITORIES,20201163,
TOTAL,2020,12,,-,13,,11,,21,,39,,468,,1897,,4522,,4,,101,,334,,710,,,TOTAL,20201270,
US RESIDENTS,2020,12,,-,13,,11,,21,,39,,468,,1896,,4506,,4,,101,,333,,710,,,US RESIDENTS,20201201,
NEW HAMPSHIRE,2020,12,,-,1,,,-,,-,,-,14,,15,,64,,,-,1,,,-,,-,NEW HAMPSHIRE,,20201206,POINT (-71.57139 43.680429)
NEW YORK,2020,12,,-,2,,,-,,-,4,,14,,49,,29,,,-,4,,3,,13,,NEW YORK,,20201211,POINT (-75.59655 42.921241)
PACIFIC,2020,12,,-,3,,,-,4,,,-,32,,176,,76,,,-,5,,16,,42,,,PACIFIC,20201257,
WEST SOUTH CENTRAL,2020,12,,-,7,,1,,3,,,-,44,,149,,135,,,-,10,,28,,26,,,WEST SOUTH CENTRAL,20201243,
NEBRASKA,2020,12,,-,1,,,-,,-,,-,3,,3,,1,,,-,1,,,-,,-,NEBRASKA,,20201225,POINT (-99.810595 41.527099)
EAST SOUTH CENTRAL,2020,12,,-,3,,3,,3,,14,,113,,359,,1226,,3,,17,,92,,128,,,EAST SOUTH CENTRAL,20201238,
NORTH DAKOTA,2020,12,,-,1,,,-,2,,,-,1,,,-,1,,,-,1,,1,,1,,NORTH DAKOTA,,20201226,POINT (-100.46931 47.446305)
NEVADA,2020,12,,-,0,,,-,,-,,-,7,,5,,17,,,-,2,,,-,5,,NEVADA,,20201253,POINT (-114.916992 39.283294)
ILLINOIS,2020,12,,-,1,,,-,1,,,-,8,,17,,51,,,-,3,,7,,3,,ILLINOIS,,20201215,POINT (-89.148632 40.124144)
IOWA,2020,12,,-,2,,,-,1,,,-,2,,4,,2,,,-,3,,3,,5,,IOWA,,20201221,POINT (-93.500061 42.074659)
TEXAS,2020,12,,-,4,,1,,1,,,-,13,,28,,27,,,-,6,,6,,6,,TEXAS,,20201247,POINT (-99.317341 31.447238)
ALASKA,2020,12,,-,1,,,-,,-,,-,1,,,-,,-,,-,1,,1,,4,,ALASKA,,20201258,POINT (-151.631889 63.631126)
DISTRICT OF COLUMBIA,2020,12,,-,0,,,-,,-,,-,2,,,-,3,,,U,,NC,,U,,U,DISTRICT OF COLUMBIA,,20201230,POINT (-77.016275 38.904785)
