INSPECTION_NO,INSPECTION_DATE,VIOLATIONS,WARNINGS
1032814093820,02/11/2014 05:30:00 PM,0,0
1101311103037,10/13/2011 01:10:00 AM,0,0
1062811125346,06/24/2011 01:05:00 AM,0,0
1122716091310,12/04/2016 08:15:00 AM,0,0
1032707133203,03/27/2007 09:00:00 AM,0,0
1041008211531,04/10/2008 03:40:00 PM,0,0
1080107064702,07/31/2007 09:30:00 AM,0,0
1031116141802,03/08/2016 10:30:00 AM,0,0
1042115092241,04/13/2015 04:05:00 PM,0,0
1121817131907,12/18/2017 01:45:00 AM,0,0
1061219082655,06/10/2019 08:15:00 AM,0,0
1120610075357,12/03/2010 05:00:00 PM,0,0
1101819080014,10/17/2019 09:05:00 AM,0,0
1120816133120,10/13/2016 08:10:00 PM,0,0
1071712095537,07/16/2012 10:25:00 AM,0,0
1050913121050,05/01/2013 05:40:00 PM,0,0
1121916100250,12/18/2016 08:10:00 AM,0,0
1031511120448,03/14/2011 09:00:00 AM,0,0
1101409093914,10/14/2009 03:00:00 AM,0,0
1010820083547,01/07/2020 10:40:00 AM,0,0
1062812094341,06/27/2012 09:00:00 AM,0,0
1010219185709,12/24/2018 09:20:00 AM,0,0
1060216122740,05/20/2016 09:00:00 AM,0,0
1052611075351,05/25/2011 07:15:00 AM,0,0
1012908131443,01/29/2007 09:15:00 AM,0,0
1111814113158,11/05/2014 07:25:00 AM,0,0
1022819101519,02/26/2019 10:45:00 AM,0,0
1062612125024,06/23/2012 08:05:00 AM,0,0
1020613102458,01/16/2013 09:15:00 AM,0,0
1083016080736,08/19/2016 07:15:00 AM,0,0
1011510090422,01/14/2010 08:30:00 AM,0,0
1110411113718,11/03/2011 07:20:00 AM,0,0
1022118134046,02/09/2018 07:45:00 PM,0,0
1030819184127,03/03/2019 10:40:00 AM,0,0
1082719062954,08/26/2019 08:15:00 AM,0,0
1081417115253,08/12/2017 11:45:00 AM,0,0
1071118130925,07/09/2018 01:45:00 PM,0,0
1081017073930,08/10/2017 01:40:00 AM,0,0
1041108060633,04/10/2008 10:20:00 AM,0,0
1041608131806,04/16/2008 09:55:00 AM,0,0
1052711112538,05/26/2011 06:50:00 AM,0,0
1093013130333,09/28/2013 07:45:00 AM,0,0
1010615121645,12/30/2014 05:40:00 PM,0,0
1020509131104,02/02/2009 03:30:00 PM,0,0
1091212125445,09/11/2012 07:20:00 PM,0,0
1120616095052,10/27/2016 01:50:00 AM,0,0
1061317062436,06/09/2017 04:25:00 PM,0,0
1061318071852,06/06/2018 01:55:00 AM,0,0
1042710094904,04/23/2010 03:55:00 PM,0,0
1061314105432,06/12/2014 08:55:00 AM,0,0
1072514125621,07/18/2014 01:50:00 AM,0,0
1081310083040,08/12/2010 08:55:00 AM,0,0
1092911113757,09/29/2011 12:25:00 AM,0,0
1082814101221,08/22/2014 09:50:00 AM,0,0
1100411120411,10/03/2011 09:30:00 AM,0,1
1100411120411,10/03/2011 09:30:00 AM,0,1
1100411120411,10/03/2011 09:30:00 AM,0,1
1041618103918,04/12/2018 05:20:00 PM,0,0
1092719061745,09/27/2019 12:10:00 AM,0,0
1100410123509,10/01/2010 05:45:00 PM,0,0
1102414111613,10/16/2014 11:15:00 PM,0,0
1082411101521,08/23/2011 10:00:00 AM,0,0
1012417132547,01/23/2017 07:00:00 PM,0,0
1081815122340,08/12/2015 02:20:00 PM,0,0
1052616121035,05/18/2016 08:55:00 AM,0,0
