Levy Year,School District Name,School District Code,Number of Basic Exemptions,Amount of Basic Reimbursement ,Number of Enhanced Exemptions,Amount of Enhanced Reimbursement ,Total Amount of Reimbursement ,Data Preparation Date
2019,Lockport,290900,4430,3415690,1945,2852573,6268263,04/22/2020
2019,Niagara Falls,291100,5677,2571682,2885,2685224,5256906,04/22/2020
2019,North Tonawanda,291200,4791,2620055,2352,2892838,5512893,04/22/2020
2019,Lewiston-Porter,292401,2985,1509394,1419,1631335,3140729,04/22/2020
2019,Newfane,292801,1761,1280641,865,1299101,2579742,04/22/2020
2019,Niagara-Wheatfield,293001,4242,2157482,1895,2074192,4231674,04/22/2020
2019,Starpoint,293201,3445,2011034,1183,1562114,3573148,04/22/2020
2019,Royalton-Hartland,293601,1554,962831,695,961856,1924687,04/22/2020
2019,Barker,293801,850,377316,417,418515,795831,04/22/2020
2019,Wilson,294201,1395,913902,635,936980,1850882,04/22/2020
2019,Rome,301300,4621,3056536,2013,2818768,5875304,04/22/2020
2019,Utica,301600,5741,3124034,2473,2806751,5930785,04/22/2020
2019,Adirondack,302601,1585,641639,702,596981,1238620,04/22/2020
2019,Camden,303001,2220,924038,949,783320,1707358,04/22/2020
2019,Clinton,304001,1436,1113147,568,984356,2097503,04/22/2020
2019,New Hartford,304801,2935,2070436,1062,1648739,3719175,04/22/2020
2019,New York Mills,304804,679,432437,368,525666,958103,04/22/2020
2019,Sauquoit Valley,305002,1147,683645,404,523583,1207228,04/22/2020
2019,Remsen,305201,582,345247,270,351853,697100,04/22/2020
2019,Waterville,305401,950,498376,362,407034,905410,04/22/2020
2019,Holland Patent,305801,1747,1067514,653,866695,1934209,04/22/2020
2019,Sherrill,306000,2051,1254872,976,1274825,2529697,04/22/2020
2019,Westmoreland,306801,1273,950151,496,801660,1751811,04/22/2020
2019,Oriskany,307001,777,463504,321,419264,882768,04/22/2020
2019,Whitesboro,307002,4060,2581863,1649,2365182,4947045,04/22/2020
2019,Syracuse,311500,10983,4786192,4013,3609729,8395921,04/22/2020
2019,West Genesee,312001,5585,3749755,2538,3724659,7474414,04/22/2020
2019,North Syracuse,312403,10475,7176348,3812,5520894,12697242,04/22/2020
2019,East Syracuse-Minoa,312601,3646,2715674,1755,2725833,5441507,04/22/2020
2019,Jamesville-Dewitt,312611,2796,1910962,758,1142939,3053901,04/22/2020
2019,Jordan-Elbridge,312801,1331,1025768,592,921164,1946932,04/22/2020
2019,Fabius-Pompey,313001,848,652733,327,541045,1193778,04/22/2020
2019,Westhill,313201,2015,1625965,784,1402419,3028384,04/22/2020
2019,Solvay,313202,1337,1073301,792,1308577,2381878,04/22/2020
2019,La Fayette,313407,787,439020,292,347016,786036,04/22/2020
2019,Baldwinsville,313601,5930,4096560,2144,3244302,7340862,04/22/2020
2019,Fayetteville-Manlius,313801,3745,2836202,1172,1982192,4818394,04/22/2020
2019,Marcellus,314001,2051,1419620,752,1161607,2581227,04/22/2020
2019,Onondaga,314201,1097,853481,502,847652,1701133,04/22/2020
2019,Liverpool,314801,7561,5970590,3188,5410957,11381547,04/22/2020
2019,Lyncourt,314804,576,520696,348,582788,1103484,04/22/2020
2019,Skaneateles,315001,1382,557139,565,516164,1073303,04/22/2020
2019,Tully,315402,1035,607507,332,429978,1037485,04/22/2020
2019,Canandaigua,320200,3382,1878172,1358,1670244,3548416,04/22/2020
2019,Geneva,320500,1994,1258283,954,1310194,2568477,04/22/2020
2019,East Bloomfield,322601,1043,712272,409,612007,1324279,04/22/2020
2019,Gorham-Middlesex,323201,1674,691410,704,633111,1324521,04/22/2020
2019,Manchester-Shortsville,323601,913,747072,403,710058,1457130,04/22/2020
2019,Naples,323801,932,423008,451,453668,876676,04/22/2020
2019,Phelps-Clifton Springs,324001,1746,1243691,707,1090800,2334491,04/22/2020
2019,Honeoye,324201,1046,473955,497,498952,972907,04/22/2020
2019,Victor,324801,3590,1758936,1168,1261431,3020367,04/22/2020
2019,Middletown,330900,4372,3668018,1220,2261894,5929912,04/22/2020
2019,Newburgh,331100,7071,6027736,2369,4361445,10389181,04/22/2020
2019,Port Jervis,331300,1892,1759229,850,1663199,3422428,04/22/2020
2019,Washingtonville,332002,3824,3277110,778,1492392,4769502,04/22/2020
2019,Chester,332201,953,737841,272,478444,1216285,04/22/2020
2019,Cornwall,332401,2533,2242314,538,1075046,3317360,04/22/2020
2019,Pine Bush,332601,4500,3389079,1148,1913574,5302653,04/22/2020
2019,Goshen,333001,2291,1791897,565,1002256,2794153,04/22/2020
