Reporting Area,MMWR Year,MMWR Week,"Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week","Invasive pneumococcal disease, age < 5 years§, Confirmed, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2019†, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Current week","Invasive pneumococcal disease, age < 5 years§, Probable, Current week, flag","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†","Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2020†, flag","Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2019†","Invasive pneumococcal disease, age < 5 years§, Probable, Cum 2019†, flag","Legionellosis, Current week","Legionellosis, Current week, flag","Legionellosis, Previous 52 weeks Max†","Legionellosis, Previous 52 weeks Max†, flag","Legionellosis, Cum 2020†","Legionellosis, Cum 2020†, flag","Legionellosis, Cum 2019†","Legionellosis, Cum 2019†, flag",Location 1,Location 2,Reporting Area Sort,New Georeferenced Column
RHODE ISLAND,2020,6,,-,1,,,-,2,,,-,0,,,-,,-,,-,5,,,-,5,,RHODE ISLAND,,20200607,POINT (-71.534637 41.572574)
OREGON,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,4,,9,,5,,OREGON,,20200661,POINT (-120.605279 43.940449)
DELAWARE,2020,6,,-,3,,,-,,-,,-,0,,,-,,-,,-,4,,1,,2,,DELAWARE,,20200629,POINT (-75.452394 38.994926)
ALABAMA,2020,6,,-,2,,2,,2,,,-,0,,,-,,-,1,,6,,4,,6,,ALABAMA,,20200639,POINT (-86.844516 32.756889)
KANSAS,2020,6,,-,2,,,-,3,,,-,1,,,-,1,,,-,5,,,-,6,,KANSAS,,20200622,POINT (-98.38018 38.484729)
NORTH CAROLINA,2020,6,,N,,NC,,N,,N,,N,,NC,,N,,N,,-,112,,3,,11,,NORTH CAROLINA,,20200634,POINT (-79.130883 35.52603)
GUAM,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,GUAM,,20200666,POINT (144.653198 13.3532)
NEW JERSEY,2020,6,,-,4,,3,,1,,,-,0,,,-,,-,,-,8,,,-,15,,NEW JERSEY,,20200610,POINT (-74.655514 40.110253)
NEW MEXICO,2020,6,,-,2,,1,,5,,,-,0,,,-,,-,,-,2,,2,,1,,NEW MEXICO,,20200654,POINT (-106.108388 34.421369)
EAST NORTH CENTRAL,2020,6,2,,8,,16,,21,,,-,2,,6,,1,,15,,115,,112,,141,,,EAST NORTH CENTRAL,20200614,
TENNESSEE,2020,6,,-,3,,1,,3,,,-,0,,,-,,-,1,,10,,7,,10,,TENNESSEE,,20200642,POINT (-86.343226 35.842998)
CONNECTICUT,2020,6,,-,1,,,-,2,,,-,0,,,-,,-,,-,8,,,-,4,,CONNECTICUT,,20200603,POINT (-72.738288 41.575155)
MARYLAND,2020,6,1,,3,,1,,4,,,-,0,,,-,,-,1,,16,,15,,33,,MARYLAND,,20200633,POINT (-76.687282 38.946466)
SOUTH CAROLINA,2020,6,,-,2,,1,,1,,,-,0,,,-,,-,,-,6,,3,,5,,SOUTH CAROLINA,,20200635,POINT (-80.864614 33.878572)
OKLAHOMA,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,15,,,-,,-,OKLAHOMA,,20200646,POINT (-97.508297 35.583449)
NORTHERN MARIANA ISLANDS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,NORTHERN MARIANA ISLANDS,,20200665,POINT (145.725693 15.1834)
OHIO,2020,6,2,,3,,10,,4,,,-,2,,6,,1,,15,,68,,87,,57,,OHIO,,20200618,POINT (-82.70936 40.415534)
MINNESOTA,2020,6,,-,2,,,-,,-,,-,0,,,-,,-,,-,7,,,-,13,,MINNESOTA,,20200623,POINT (-94.198308 46.349153)
LOUISIANA,2020,6,,-,2,,2,,3,,,-,0,,,-,,-,,-,6,,,-,3,,LOUISIANA,,20200645,POINT (-91.840238 30.921314)
HAWAII,2020,6,,-,1,,,-,1,,,-,0,,,-,,-,,-,2,,2,,6,,HAWAII,,20200660,POINT (-157.854309 21.361013)
SOUTH ATLANTIC,2020,6,4,,9,,18,,25,,,-,1,,,-,1,,2,,141,,29,,126,,,SOUTH ATLANTIC,20200628,
NON-US RESIDENTS,2020,6,,-,0,,,-,,-,,-,0,,,-,,-,,-,0,,,-,,-,,NON-US RESIDENTS,20200669,
NEW ENGLAND,2020,4,,-,3,,,-,10,,,-,0,,,-,,-,1,,22,,1,,36,,,NEW ENGLAND,20200402,
US RESIDENTS,2020,2,14,,32,,24,,37,,2,,2,,3,,3,,26,,329,,66,,240,,,US RESIDENTS,20200201,
NEW ENGLAND,2020,2,,-,3,,,-,5,,,-,0,,,-,,-,,-,22,,,-,23,,,NEW ENGLAND,20200202,
PENNSYLVANIA,2020,6,,-,1,,,-,2,,,-,1,,,-,,-,1,,29,,25,,61,,PENNSYLVANIA,,20200613,POINT (-77.838886 40.896694)
UTAH,2020,6,,-,2,,2,,1,,,-,0,,,-,1,,,-,3,,,-,,-,UTAH,,20200655,POINT (-111.678222 39.323779)
