the_geom,OBJECTID,REGULATING_PLAN_SUBDISTRICT_ID,PLAN_NAME,PLAN_TYPE,SUBDISTRICT_MAP,MAX_FAR_BY_RIGHT,MAX_FAR_WITH_BONUS,MINIMUM_HEIGHT,MAX_HEIGHT_WITH_BONUS,MINIMUM_DENSIT,MAXIMUM_DENSITY,MAX_DENSITY_WITH_BONUS,MAXIMUM_IMPERVIOUS_COVER,MINIMUM_LOT_SIZE_SQFT,MINIMUM_LOT_WIDTH_FT,MIN_SETBACK_INTERIOR_SIDE_YRD,MAX_SETBACK_REAR_YRD,MAX_BLDG_COVERAGE_PCT,HYPERLINK_URL,CREATED_BY,CREATED_DATE,MODIFIED_BY,MODIFIED_DATE,HUB,Shape__Area,Shape__Length
"MULTIPOLYGON (((-97.716866137615 30.230089259604, -97.716977835846 30.229906168347, -97.717274484163 30.230042979137, -97.717163267034 30.230224705301, -97.716866137615 30.230089259604)))",325,1318,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:45:18 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,7962.87109375,362.261206060455
"MULTIPOLYGON (((-97.715995928772 30.39481624317, -97.716306756847 30.393575013432, -97.716346992092 30.39342866143, -97.718059864795 30.39425275411, -97.717638899612 30.395464788199, -97.717606924992 30.395556934185, -97.71759949023 30.395578400252, -97.717424578403 30.395495320654, -97.717270747149 30.395422269871, -97.717263637025 30.395418879134, -97.717262885489 30.395418533549, -97.715996148417 30.394816357738, -97.715995928772 30.39481624317)))",30,866,NBG,Regulating Plan,TOD,Figure 4-2,Figure 4-3,Two Stories,Figure 4-5,None,None,Waived with Bonus,Figure 4-6,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,295098.296875,2214.33482929827
"MULTIPOLYGON (((-97.71876224501 30.393406446449, -97.718612622958 30.39334792154, -97.718424181591 30.393273671336, -97.718878628883 30.392423249055, -97.718879998578 30.392420719703, -97.719246657652 30.392568212549, -97.719277194273 30.39258049583, -97.718827677406 30.39343176258, -97.71876224501 30.393406446449)))",1195,797,NBG,Regulating Plan,TOD,Figure 4-2,Figure 4-3,Two Stories,Figure 4-5,None,None,Waived with Bonus,Figure 4-6,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,47378.525390625,960.029642047652
"MULTIPOLYGON (((-97.720920324558 30.334742268868, -97.720995952553 30.334621417806, -97.721630018519 30.334931237248, -97.721963888566 30.335094395506, -97.721963757256 30.335094557962, -97.721886773854 30.335213977919, -97.721886540179 30.335214386436, -97.721605711914 30.335077171729, -97.720920512599 30.334742354813, -97.720920324558 30.334742268868)))",1060,48,LJ,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,17508.78515625,800.329488904169
"MULTIPOLYGON (((-97.733884060054 30.262959458898, -97.733896023905 30.2629340408, -97.734061528226 30.262582603636, -97.734131393483 30.262606023702, -97.73397148695 30.262957849733, -97.733959835544 30.262983439306, -97.733884060054 30.262959458898)))",244,70,PS,Regulating Plan,TODLDR,2 to 1,Not Bonus Eligible,Not applicable,Not Bonus Eligible,9 Dwelling Units/acre,16 Dwelling Units/acre,Not Bonus Eligible,0.85,"2,500 SF",20 ft,0 ft,0 ft,0.85,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,3628.7421875,344.737108181773
"MULTIPOLYGON (((-97.705286507876 30.287100227592, -97.705629780263 30.286567534161, -97.705844835113 30.286667820809, -97.706307084065 30.286883437068, -97.706419994899 30.286936083686, -97.706641224213 30.287514124433, -97.706642499557 30.287518496287, -97.706643709879 30.287526441917, -97.706643491453 30.28753446835, -97.706641850242 30.287542356438, -97.706638855951 30.287549913604, -97.706634573925 30.287557031101, -97.70662907423 30.287563464925, -97.706622518927 30.287569105604, -97.706615069654 30.287573821098, -97.706606856945 30.287577476025, -97.706598552167 30.28757989104, -97.706037527175 30.287707312157, -97.706034330871 30.287696657559, -97.706024689609 30.287667801284, -97.706013677305 30.287639274231, -97.706001352278 30.287611187683, -97.705987715844 30.287583569638, -97.70597276727 30.287556447152, -97.70595659932 30.287529850098, -97.705939146674 30.287503886321, -97.705920535811 30.287478531344, -97.70590073436 30.287453866616, -97.705879771975 30.28742994869, -97.705857711769 30.287406750887, -97.705834584001 30.287384383913, -97.705810418806 30.287362848384, -97.705785247662 30.287342172018, -97.705759164677 30.287322411785, -97.705732135811 30.287303595863, -97.705704258059 30.287285751505, -97.705675591921 30.287268909729, -97.70564613671 30.287253095786, -97.705615956069 30.287238339855, -97.705585112347 30.287224643215, -97.705573610836 30.287219897442, -97.705286507876 30.287100227592)))",917,381,MLK,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/mlk_regplan_revised.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,93540.12890625,1278.45282965308
"MULTIPOLYGON (((-97.690038789514 30.219557509535, -97.690449245858 30.219389077115, -97.690787285607 30.220010786331, -97.690448256445 30.220149807443, -97.690376926523 30.220179083833, -97.690038789514 30.219557509535)))",147,979,ERC,Regulating Plan,ERCCOMU,2:1,,60',160',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 08:59:13 AM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,35844.775390625,786.792426455506
"MULTIPOLYGON (((-97.726317783309 30.240241677028, -97.726385838307 30.240273976339, -97.726496453701 30.240106118756, -97.726715298936 30.240478348166, -97.726583824435 30.240684369246, -97.726166575275 30.240475789343, -97.726317783309 30.240241677028)))",1146,1027,ERC,Regulating Plan,ERCCOMU,2:1,,60',120',,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:26:25 PM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,18571.26171875,582.137489969945
"MULTIPOLYGON (((-97.730309716849 30.264274909615, -97.730471203022 30.263926146355, -97.730617984661 30.263975883941, -97.730457290603 30.26432466347, -97.730309716849 30.264274909615)))",778,188,PS,Regulating Plan,TODMU,2 to 1,FAR Waived,Two Stories,60 feet unless within 100 feet of TOD District Boundary,Not applicable,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/plaza_saltillo_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,6813.845703125,373.044764063282
"MULTIPOLYGON (((-97.717498839735 30.229676374202, -97.717201561686 30.229539440971, -97.717311933115 30.229358521367, -97.717609292595 30.229495924328, -97.717498839735 30.229676374202)))",467,1310,ERC,Regulating Plan,,,,,,,,,,,,,,,,VanallenC,04/23/2015 02:45:18 PM +0000,VanallenC,04/23/2015 03:01:17 PM +0000,,7909.890625,361.438513583001
"MULTIPOLYGON (((-97.73213113105 30.382460444859, -97.732141366703 30.382444370427, -97.732640994987 30.381660140347, -97.732647030387 30.381650416276, -97.73264746188 30.381649737434, -97.732663988732 30.381622706057, -97.73269277582 30.381636271745, -97.732721661295 30.381649701363, -97.732750647214 30.381662995853, -97.732779699274 30.381676153617, -97.732808817737 30.381689203537, -97.732838035341 30.381702089428, -97.732867320102 30.381714839517, -97.73288839078 30.381724013113, -97.73289785908 30.381728165455, -97.732928690498 30.381741222098, -97.732959621764 30.381754088557, -97.73299065467 30.381766736896, -97.733021787447 30.381779194149, -97.733053052316 30.381791461872, -97.733080900921 30.381802203047, -97.733084385826 30.381803538777, -97.733115852182 30.381815398195, -97.733147199369 30.381827007044, -97.733147387202 30.381827065894, -97.733158251527 30.381832402422, -97.733163448996 30.381834954939, -97.733172624964 30.381840531558, -97.733173530422 30.38184107237, -97.73318165891 30.381849020785, -97.733187432169 30.3818584347, -97.733190286514 30.381867870662, -97.733190549589 30.381868728714, -97.733190684957 30.381875442224, -97.733190769312 30.381879377271, -97.733188142004 30.381889775018, -97.732872028434 30.382642468097, -97.732806788101 30.382797228427, -97.73213113105 30.382460444859)))",1211,724,NBG,Regulating Plan,NBGWMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,76943.8046875,1143.64107429915
"MULTIPOLYGON (((-97.727512010747 30.379388464982, -97.727625317665 30.379210177607, -97.727633631726 30.379204185247, -97.727643262638 30.379199953049, -97.727653729876 30.379197662549, -97.727664552274 30.379197442034, -97.727675128899 30.379199307269, -97.727684986323 30.379203138552, -97.728191426917 30.37945086338, -97.728192241372 30.379451265224, -97.728066008457 30.379650110475, -97.728045397685 30.379640395879, -97.727512010747 30.379388464982)))",579,703,NBG,Regulating Plan,NBGWMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,16668.294921875,559.598289721991
"MULTIPOLYGON (((-97.703108188355 30.28283837136, -97.703226429714 30.282819620896, -97.703275609276 30.283101222227, -97.703586577257 30.283066705771, -97.703623918996 30.283303646762, -97.703653122495 30.283490307845, -97.703219269285 30.28354645121, -97.70320912382 30.283547783301, -97.703180425871 30.283294902699, -97.703108188355 30.28283837136)))",803,364,MLK,Regulating Plan,TODCOMU,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,None,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/mlk_regplan_revised.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,25817.923828125,797.66571641229
"MULTIPOLYGON (((-97.733311376053 30.248063741082, -97.733291132688 30.248086103528, -97.732920277332 30.248496353214, -97.73257817406 30.248349388402, -97.732411044744 30.248278528984, -97.732260980837 30.248177404787, -97.7322242271 30.248152978364, -97.732591241264 30.247754864083, -97.733311376053 30.248063741082)))",293,1165,ERC,Regulating Plan,ERCCOMU,2:1,,60',Not Bonus Eligible,,,,90%,"2,500 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:46:21 PM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,49283.869140625,892.9353434886
"MULTIPOLYGON (((-97.727673524517 30.236485090129, -97.727308474098 30.236308847103, -97.727017662655 30.236168136434, -97.727094532608 30.236048602584, -97.727312671027 30.236152163156, -97.727752021269 30.236363939503, -97.727707433876 30.236431625855, -97.727673524517 30.236485090129)))",322,1062,ERC,Regulating Plan,ERCNMU,1:1,,50,65',,,,80%,"1,600 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:38:54 PM +0000,VanallenC,04/23/2015 02:09:52 PM +0000,YES,11938.283203125,574.582936954784
"MULTIPOLYGON (((-97.728973785707 30.396472624753, -97.72900951105 30.3963645455, -97.729046623579 30.396256823753, -97.729085089951 30.39614946064, -97.729124911249 30.396042454378, -97.729166054464 30.395935832267, -97.729208550023 30.395829623799, -97.729247519925 30.395735361253, -97.729644003618 30.39479238656, -97.729930545203 30.394931676813, -97.730374992141 30.395076864522, -97.730118800654 30.395471515732, -97.730114230514 30.395478628265, -97.73009921259 30.395503709348, -97.730085512936 30.395529312567, -97.730073068846 30.395555408678, -97.730061946308 30.395581943977, -97.730052176979 30.395608864062, -97.730043730355 30.395636142148, -97.730036672498 30.395663721824, -97.730031003471 30.395691523685, -97.730026726159 30.395719518012, -97.73002384174 30.395747622716, -97.730022381399 30.395775839332, -97.73002231721 30.395804084276, -97.730023681559 30.395832276093, -97.730026443261 30.395860413247, -97.730030605574 30.39588841369, -97.730036167148 30.395916250324, -97.730043132307 30.395943840221, -97.73005143801 30.39597112796, -97.730061116249 30.395998085315, -97.730072138314 30.396024657562, -97.730084441191 30.396050788379, -97.730098089097 30.396076451095, -97.730112988535 30.396101561699, -97.730129110823 30.396126064566, -97.730146455229 30.396149986751, -97.73016499214 30.396173191397, -97.730184657414 30.396195702469, -97.730197209293 30.39620910437, -97.730229367821 30.396242485956, -97.730234628313 30.396247433791, -97.730242715507 30.396253400881, -97.730251623935 30.396258367685, -97.730261260904 30.396262220429, -97.730271404149 30.396264902269, -97.730281866169 30.396266379623, -97.73029248925 30.39626659515, -97.730303019544 30.396265543699, -97.730313296416 30.396263276153, -97.730322360328 30.39626013218, -97.73033893683 30.396253702671, -97.730355812815 30.396247939755, -97.730372958016 30.396242846429, -97.73037298739 30.396242838001, -97.730390368826 30.396238440665, -97.730390398151 30.396238434041, -97.730408012945 30.396234723613, -97.730425798505 30.396231705139, -97.730425829862 30.396231700361, -97.730443754296 30.396229398461, -97.730461819425 30.396227784295, -97.730752761147 30.396207778096, -97.730753491922 30.396207737877, -97.730774771448 30.396206932407, -97.73079608002 30.396207364644, -97.730817292796 30.396209032056, -97.730838345979 30.396211907179, -97.730859111942 30.396216013594, -97.73087880458 30.396221089014, -97.730998120369 30.396255578647, -97.731010204713 30.396259233732, -97.731022124949 30.396263184164, -97.731022152795 30.396263193752, -97.731033953558 30.396267444047, -97.731045617042 30.396271998355, -97.731057131615 30.396276824858, -97.731068477794 30.396281951134, -97.731079627231 30.396287347733, -97.731090642321 30.396293016823, -97.731176529886 30.396338847576, -97.731195219116 30.396348165294, -97.731214472781 30.396356586693, -97.731234228595 30.396364028397, -97.731254455369 30.396370488869, -97.731572688497 30.39646311239, -97.731581826691 30.396465469653, -97.731596441457 30.396468242063, -97.731611249543 30.396469752395, -97.731626216149 30.396470055889, -97.731630408491 30.396469920729, -97.73159208923 30.396576600846, -97.731552699803 30.396683011106, -97.731512176878 30.396789068111, -97.731470583446 30.396894829081, -97.731427919242 30.397000265136, -97.731384154044 30.397105377467, -97.731339287612 30.39721013629, -97.731293383356 30.397314544694, -97.731246377835 30.39741860049, -97.731198336303 30.397522277027, -97.731149193167 30.397625574778, -97.731099014014 30.397728493267, -97.731047766567 30.397831032742, -97.730995451291 30.397933137264, -97.730942098902 30.398034864303, -97.730887711971 30.398136157063, -97.730832256424 30.398237043726, -97.730775796502 30.398337496719, -97.730718271524 30.398437488641, -97.730659742166 30.398537046889, -97.730600177919 30.398636144676, -97.730539611058 30.398734781753, -97.73047804231 30.398832931062, -97.73041543765 30.398930618983, -97.730351832871 30.399027792098, -97.730287255639 30.399124505109, -97.730221646787 30.3992206747, -97.730155066233 30.399316356226, -97.730087516763 30.399411523574, -97.730018966123 30.399506176088, -97.729949478269 30.399600258217, -97.729878792152 30.399694069655, -97.729636564509 30.399578149132, -97.729307778207 30.3994823922, -97.729454802651 30.39910312988, -97.729464044335 30.399078151804, -97.72947469124 30.399045775906, -97.729483949346 30.399013097509, -97.729491851238 30.398980143442, -97.72949836318 30.398946968064, -97.729503516646 30.398913600889, -97.729503601641 30.398912804937, -97.729515901069 30.398819239952, -97.729519715088 30.398793147407, -97.729524350481 30.398767168084, -97.729529745737 30.398741286294, -97.729535961246 30.39871555921, -97.729542934832 30.398689957146, -97.729550664985 30.398664536016, -97.729559183095 30.39863930909, -97.729568488616 30.39861427726, -97.730188705604 30.397014073939, -97.730191892523 30.397005337984, -97.730197287408 30.396987652206, -97.730201262624 30.396969690381, -97.730203877623 30.396951563801, -97.730205068212 30.396933298235, -97.730204864738 30.396915003482, -97.730203230891 30.396896790697, -97.730200229427 30.396878687322, -97.73019651941 30.396863347904, -97.728963571704 30.396504238785, -97.728963604686 30.396504212384, -97.728973785707 30.396472624753)))",1172,893,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,608370.259765625,4748.5635260961
"MULTIPOLYGON (((-97.708530427931 30.392204888122, -97.709313443381 30.392044799477, -97.709351814504 30.391983644935, -97.709429405 30.392020216986, -97.709664953934 30.391971952395, -97.710278918674 30.392265870294, -97.710879154294 30.39211751848, -97.711143813155 30.392907363365, -97.711138483559 30.392908519535, -97.711106887074 30.392914227213, -97.711049578483 30.39292628528, -97.710991922776 30.392937098198, -97.710933984148 30.392946640209, -97.710911020455 30.392949911982, -97.710875794092 30.392954939929, -97.710817353091 30.39296194142, -97.7107587564 30.392967701675, -97.710722164291 30.392970474654, -97.710700004452 30.392972166559, -97.7106411295 30.392975336732, -97.710582193254 30.392977239624, -97.710543411679 30.392977656867, -97.710523227941 30.392977876796, -97.71046426627 30.392977193872, -97.710405307787 30.392975245887, -97.710346447163 30.392972034776, -97.710287718147 30.392967506187, -97.710286737281 30.392967404019, -97.710229118204 30.39296171511, -97.710170710796 30.392954662844, -97.710112497726 30.392946321452, -97.710086850867 30.392942083876, -97.710054571127 30.392936747862, -97.709996934556 30.392925888007, -97.709939648656 30.392913770197, -97.709904781256 30.392905603789, -97.70988271371 30.39290042241, -97.709826193228 30.392885844143, -97.709770086097 30.392870038079, -97.709714489143 30.392853003492, -97.709659400542 30.39283476922, -97.709604819535 30.392815363222, -97.709550842593 30.392794759498, -97.709538918309 30.392789894683, -97.709497500191 30.392772985744, -97.709444792331 30.392750041958, -97.709392748702 30.392725984697, -97.708742519361 30.39241347033, -97.708615404095 30.392352397321, -97.708543282805 30.392317724233, -97.708524427048 30.392306447056, -97.708510223201 30.392290919317, -97.708501842841 30.392272458058, -97.708500064704 30.392252701644, -97.708505033522 30.392233330514, -97.708510495722 30.392224970971, -97.708530427931 30.392204888122)))",1272,843,NBG,Regulating Plan,NBGNMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-8,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,187261.474609375,2025.33416677925
"MULTIPOLYGON (((-97.737391754514 30.393093687297, -97.737199860029 30.393015214501, -97.737255595042 30.392667925864, -97.737249841496 30.392537552792, -97.737249904956 30.392537554076, -97.737215394816 30.392332228483, -97.737154528254 30.392212621379, -97.736861814108 30.391696945037, -97.737843945539 30.391881124601, -97.738167530364 30.391906648665, -97.739233158185 30.392036975963, -97.739332484499 30.392029027765, -97.739348006 30.392131325826, -97.739362721849 30.39223764921, -97.739376038954 30.39234408237, -97.739387956582 30.392450652364, -97.739398474442 30.392557331212, -97.739398647501 30.392559178207, -97.739446926803 30.392866076343, -97.738133948667 30.393021075552, -97.738349458311 30.393192299581, -97.738369332644 30.393323810904, -97.738349324342 30.393361141498, -97.738329618895 30.393427246869, -97.738311758248 30.393489703461, -97.737782835399 30.393279107842, -97.737391754514 30.393093687297)))",862,563,NBG,Regulating Plan,NBGCMU,Figure 4-2,Figure 4-3,Not applicable,Figure 4-5,None,None,Waived with Bonus,Figure 4-7,None,None,0 ft,0 ft,Equal to Maximum Impervious Coverage: Figure 4-6,ftp://ftp.ci.austin.tx.us/npzd/Austingo/nbg_reg_plan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,303303.375,2615.95796462085
"MULTIPOLYGON (((-97.724190863735 30.240060497464, -97.723964600379 30.240257461178, -97.723888376439 30.240323511983, -97.723683994431 30.240648454562, -97.723122626669 30.240381151897, -97.722576911079 30.24012087736, -97.722060116291 30.239874747723, -97.722045484992 30.239859405585, -97.722038888808 30.239839770571, -97.722042598026 30.23981974107, -97.722135954466 30.239676563579, -97.722358374174 30.239328997583, -97.722635412239 30.238894286241, -97.722654245196 30.238871375183, -97.722676180102 30.238850891483, -97.722701207535 30.238833222052, -97.722729313572 30.238818805143, -97.722758911093 30.238807802413, -97.722789992715 30.238800487119, -97.722821763984 30.238796954059, -97.722854220442 30.238797368268, -97.722885781421 30.238801614519, -97.72291723987 30.238809653929, -97.72294622439 30.238821328085, -97.722973533098 30.238836406914, -97.722997589076 30.238854636305, -97.723019194875 30.238875622048, -97.723212820203 30.239095140149, -97.723232030197 30.239116873806, -97.723252032391 30.239138596532, -97.723272035326 30.239160292199, -97.72329124832 30.239181915821, -97.723311254246 30.239203501457, -97.723331260937 30.239225059132, -97.723352016736 30.23924820034, -97.72337127805 30.239268037393, -97.723391288473 30.239289457978, -97.723411300391 30.239310823548, -97.72343131456 30.239332106145, -97.723452119445 30.239353432821, -97.723472134363 30.239374688356, -97.723492150777 30.239395888875, -97.723512959418 30.23941707756, -97.723532978068 30.239438196005, -97.7235537897 30.239459274657, -97.723574602805 30.239480299196, -97.723595416674 30.239501295773, -97.723615439843 30.239522248266, -97.723636255947 30.239543162769, -97.723657074303 30.239563994299, -97.723677891912 30.239584853783, -97.723699503968 30.239605619362, -97.723720325632 30.239626367933, -97.723741148459 30.239647035313, -97.723753496208 30.23965897582, -97.723783588628 30.239688274359, -97.723806742793 30.239710584565, -97.724190863735 30.240060497464)))",1145,1026,ERC,Regulating Plan,ERCNMU,1:1,,50,Not Bonus Eligible,,,,80%,"1,600 sf",20',0',0',,ftp://ftp.ci.austin.tx.us/npzd/Austingo/erc_reg_plan_adopted.pdf,VanallenC,06/03/2013 12:26:25 PM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,229970.828125,1973.09347668151
"MULTIPOLYGON (((-97.714854831842 30.338541923399, -97.714854851463 30.338541890413, -97.714948539994 30.338389205706, -97.715043325974 30.338234672775, -97.7150714569 30.338191241372, -97.715123733527 30.338216182303, -97.715209973247 30.338257328088, -97.715036060874 30.338531564633, -97.715029349648 30.338545179412, -97.714989174866 30.338607050746, -97.714877726706 30.338553084689, -97.714854831842 30.338541923399)))",1177,535,LJ,Regulating Plan,TODLWF,2 to 1,FAR Waived,Not applicable,Not Bonus Eligible,17 Dwelling Units/acre although LJ differs by street,45 Dwelling Units/acre,Maximum Density Waived - unless within 100' of TOD District Boundary,0.95,"2,500 SF",20 ft,0 ft,0 ft,0.95,ftp://ftp.ci.austin.tx.us/npzd/Austingo/lamar_justin_regplan.pdf,pfrank,04/02/2013 12:00:00 AM +0000,VanallenC,03/13/2015 01:06:55 PM +0000,,7146.19921875,388.157670870922
