MAKE,MODEL,VEHICLE_COUNT,MAINT_DOLLARS,FUEL_QTY,AVG_MILES_PER_VEHICLE,TOTAL_MILES
TOP HAT,MP 14X7-7E-C,1,119.323867,No-DATA,0,0
JOHN DEERE,710J,2,5492.286623,183.8,532.168338415995972,1064.336676831991944
JOHN DEERE,7700 PREC FW,5,232.63,68.9,31.540737516751023,157.703687583755113
CHEVROLET,SUBURBAN,8,27321.42072,6801.7,21470.98963111220034,171767.917048897602717
TIGER LINE,F37010,1,3339.39433,No-DATA,0,0
DOOSAN,G25E-LP,1,4796.808511,No-DATA,422.054182512566408,422.054182512566408
OSHKOSH,STA-3000,3,95052.071586,2544.5,9454.05318615725827,28362.159558471774811
JOHN DEERE,MX37242,1,1824.0047,12.8,145.431906712780737,145.431906712780737
RHINO,SR20ML,1,,No-DATA,0,0
VERMEER,LP573SDT,3,1981.459064,84.5,15.303502976489919,45.910508929469757
BRADCO,RS24,1,54.216167,No-DATA,0.812417979879517,0.812417979879517
TURFCAT,628D,3,,No-DATA,0,0
JOHN DEERE,JD320,1,3629.899344,14,110.728922885923252,110.728922885923252
YALE,GTP030AF,1,1437.342125,176.8,117.916964870063296,117.916964870063296
WELLS CARG,EW2424W,1,2907.385376,No-DATA,0,0
JOHN DEERE,790,2,6194.793594,2,1207.241675492274403,2414.483350984548807
OKADA,TOP 60B,6,7468.781326,No-DATA,0.046604787166418,0.279628722998507
ETNYRE,LB236,3,25058.544307,No-DATA,0,0
MERCURY,60 ELPT EFI,1,514.182236,65.1,0.946451283373955,0.946451283373955
RENTAL,RENTAL,4,1.346622,2139.6,11277.579152257036955,45110.31660902814782
ELASTEC,7M,1,1655.043079,No-DATA,0.429882278195775,0.429882278195775
TENNANT CO,R14,2,2875.014,No-DATA,143.305066755118134,286.610133510236268
CLUB CAR,CARRYALL,7,20758.92352,No-DATA,7.343899633824539,51.407297436771774
CHRYSLER,CHARGER,1,2498.214872,732.7,12385.379052896233153,12385.379052896233153
TSE,TRBW60X54,1,1233.051356,21.7,1063.520522675783415,1063.520522675783415
DYNAWELD,79X,1,5742.00518,No-DATA,0,0
WIEDENMANN,GXI8,1,173.51,No-DATA,0,0
CARGO,VHW8.528TA3,1,514.949425,No-DATA,0,0
SULLIVAN M,185QV,1,870.329944,11.7,434.824754876131926,434.824754876131926
RAM,1500,1,1380.998075,112.8,16174.092120250844577,16174.092120250844577
BOATMASTER,LE23G-700,1,863.932978,No-DATA,0,0
PJ TRAILER,F8202,9,2211.668544,No-DATA,0,0
JOHN DEERE,410J,7,41519.680559,653.4,1760.338003558200306,12322.366024907402144
BIG TEX,4XPH,4,22492.807938,No-DATA,0,0
DIW ENG,REEL TRAILER,3,4110.679663,11.8,1924.765685124522905,5774.297055373568714
TORO,5900,10,116535.560007,4085.3,2017.40544365122823,20174.054436512282295
MERCURY,ME 9.9EH,1,1068.515525,No-DATA,0,0
WIDE SPIN,1530,1,,No-DATA,0,0
AUTOCAR,ACMD42,19,371259.239014,58351.6,14293.476244172130809,271576.048639270485363
TOYOTA,7FCU35,2,3401.894815,No-DATA,117.354163248703463,234.708326497406926
