Series_reference,Period,Data_value,STATUS,UNITS,MAGNTUDE,Subject,Group,Series_title_1,Series_title_2,Series_title_3,Series_title_4,Series_title_5
RNAA.SG01NAC34B0199ZZB,2013.03,217539,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2014.03,232720,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2015.03,242197,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2016.03,254479,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2017.03,270387,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2018.03,289103,REVISED,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG01NAC34B0199ZZB,2019.03,303436,PROVISIONAL,Dollars,6,Regional Gross Domestic Product - RNA,"Gross domestic product, by region and industry",Gross Domestic Product - production measure,New Zealand,Gross Domestic Product,,
RNAA.SG09NAC34B0101,2000.03,19789,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2001.03,21959,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2002.03,23539,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2003.03,22566,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2004.03,23990,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2005.03,26230,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2006.03,28162,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2007.03,30633,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2008.03,32114,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2009.03,32445,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2010.03,30672,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2011.03,32470,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2012.03,32906,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2013.03,32500,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2014.03,35148,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2015.03,35522,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2016.03,37402,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2017.03,39184,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2018.03,41240,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0101,2019.03,42104,PROVISIONAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Northland,,,
RNAA.SG09NAC34B0102,2000.03,33958,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2001.03,34456,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2002.03,36276,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2003.03,38566,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2004.03,40507,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2005.03,42860,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2006.03,44201,FINAL,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2007.03,45062,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2008.03,47839,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2009.03,46732,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2010.03,47795,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
RNAA.SG09NAC34B0102,2011.03,49183,REVISED,Dollars,0,Regional Gross Domestic Product - RNA,"Gross domestic product per person, by region",Gross Domestic Product - production measure,Auckland,,,
