Inventory ID,Prop ID,Feature,Type,Category,Sub-Category
32315,X224,Play Equipment,Swings,Structural Features,
22386,Q369,Paved Surfaces,Cribbing,Structural Features,
9412,M010-ZN08,Fences,Wire,Structural Features,
48345,Q342,Paved Surfaces,Color Seal,Structural Features,
22834,Q402,Paved Surfaces,Asphalt,Structural Features,
58912,X039-ZN16,Lawns,Natural Areas,Landscape Features,
13877,M166,Fences,Wrought-Iron,Structural Features,
1002,B055,Sidewalks,Concrete Flags,Structural Features,
59453,M237,Paved Surfaces,Concrete Pavers,Structural Features,
25332,QZ80,Paved Surfaces,Belgian Blocks,Structural Features,
13072,M105-04,Safety Surface,Kangaroo New Sectional,Structural Features,
22397,Q370,Sidewalks,Concrete Curbs,Structural Features,
54439,Q411-G01,Fences,Guardrails,Structural Features,
15822,MZ224,Trees,6-10,Landscape Features,
49151,XT01,Sidewalks,Concrete Curbs,Structural Features,
3519,B162,Play Equipment,Chess & Checkers Tables,Structural Features,
56323,X092-ZN21,Fences,Pipe-Rail,Structural Features,
17189,Q015-08,Play Equipment,BBCT,Structural Features,
27987,X002-09,Paved Surfaces,Stone/Slate/Granite,Structural Features,
34246,MZ166,Horticultural Areas,Bushes,Landscape Features,
14956,M256,Paved Surfaces,Asphalt,Structural Features,
25578,R010,Horticultural Areas,Bushes,Landscape Features,
7468,B405,Benches,Wood Benches,Structural Features,
28746,X025,Fences,Wrought-Iron,Structural Features,
30042,X092-ZN05,Benches,Wood Benches,Structural Features,
30420,X106,Benches,Wood Benches,Structural Features,
28419,X010-ZN04,Sidewalks,Stone Curb,Structural Features,
